ONS_ID,food_convenience_num_region_plus_buffer,food_convenience_num_per_1000_res_plus_buffer,food_convenience_dist_closest_3_popwt,food_convenience_pct_within_15_mins,food_fastfood_num_region_plus_buffer,food_fastfood_num_per_1000_res_plus_buffer,food_fastfood_dist_closest_3_popwt,food_fastfood_pct_within_15_mins,food_grocery_num_region_plus_buffer,food_grocery_num_per_1000_res_plus_buffer,food_grocery_dist_closest_3_popwt,food_grocery_pct_within_15_mins,food_resto_num_region_plus_buffer,food_resto_num_per_1000_res_plus_buffer,food_resto_dist_closest_3_popwt,food_resto_pct_within_15_mins,food_specialty_num_region_plus_buffer,food_specialty_num_per_1000_res_plus_buffer,food_specialty_dist_closest_3_popwt,food_specialty_pct_within_15_mins,num_people_attached,num_people_uncertainly_attached,total_population_attachment,percent_attached,percent_uncertaintly_attached,crime_person_total,crime_property_total,crime_other_total,crime_total,crime_person_total_per_1000pop_plus_50m_buffer,crime_property_total_per_1000pop_plus_50m_buffer,crime_other_total_per_1000pop_plus_50m_buffer,crime_total_per_1000pop_plus_50m_buffer,walkscore_mean,walkscore_sd,bikescore_mean,bikescore_sd,unemployment_rate_15_years,percent_of_census_families_that_are_lone_parent,SQ_nohighschool,SQ_limat,SQ_coreneed,neg_medianmarketincome,Factor_scores,Rank_order,Deciles,Quintiles
VAR_ID,VAR100,VAR101,VAR102,VAR103,VAR104,VAR105,VAR106,VAR107,VAR108,VAR109,VAR110,VAR111,VAR112,VAR113,VAR114,VAR115,VAR116,VAR117,VAR118,VAR119,VAR120,VAR121,VAR122,VAR123,VAR124,VAR125,VAR126,VAR127,VAR128,VAR129,VAR130,VAR131,VAR132,VAR133,VAR134,VAR135,VAR136,VAR137,VAR138,VAR139,VAR140,VAR141,VAR142,VAR143,VAR144,VAR145,VAR146
type,Number,Number per 1000,Distance,Percent within distance,Number,Number per 1000,Distance,Percent within distance,Number,Number per 1000,Distance,Percent within distance,Number,Number per 1000,Distance,Percent within distance,Number,Number per 1000,Distance,Percent within distance,Number,Number,Number,Percent of pop,Percent of pop,Number,Number,Number,Number,Number per 1000,Number per 1000,Number per 1000,Number per 1000,Average,Standard deviation,Average,Standard deviation,Percent of labour force,Percent of census families,Square,Square,Square,Median,Index score,Index score,Index score,Index score
category,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Primary care attachment,Primary care attachment,Primary care attachment,Primary care attachment,Primary care attachment,Crime and safety,Crime and safety,Crime and safety,Crime and safety,Crime and safety,Crime and safety,Crime and safety,Crime and safety,Transportation,Transportation,Transportation,Transportation,SES index,SES index,SES index,SES index,SES index,SES index,SES index,SES index,SES index,SES index
3020,10,0.622,0.673,1,23,1.43,0.612,0.995,2,0.124,1.334,0.956,16,0.995,0.793,1,2,0.124,1.417,0.786,13924,3834,17758,78.4,21.6,199,621,80,900,12.86913273,41.59154492,5.035747591,59.49642524,48.08,10.20861193,87.76,6.190771888,0.129032258,0.249047014,0.339931054,0.430771073,0.447375718,NA38000,1.425578361,98,9,5
3021,3,0.468,5.9,0.202,8,1.247,4.143,0.243,0,0,10.586,0.003,4,0.624,4.07,0.321,3,0.468,4.477,0.259,6393,666,7059,90.6,9.4,19,88,1,108,3.585346843,15.58846454,0.467653936,19.64146532,5.36,10.13496797,29.84,5.792227464,0.074285714,0.083116883,0.162852881,0.210235332,0.219214324,NA56800,NA1.186303037,6,1,1
3022,3,0.282,0.997,0.913,22,2.069,0.594,1,2,0.188,1.59,0.49,12,1.128,0.714,1,1,0.094,1.628,0.637,9090,1750,10840,83.9,16.1,71,677,35,783,8.932769158,83.2157969,6.299952985,98.44851904,24.84,8.660510634,71.75,8.789772523,0.102294455,0.234042553,0.289068157,0.339573376,0.36727931,NA40000,0.670713537,81,8,4
3023,2,0.216,1.17,0.88,16,1.728,0.732,1,0,0,2.629,0.08,5,0.54,0.863,1,0,0,1.81,0.271,8406,1577,9983,84.2,15.8,25,101,6,132,6.155507559,72.57019438,1.61987041,80.34557235,21.68,8.223985615,77.97,6.633942412,0.117179742,0.164092664,0.195608456,0.263045151,0.29361011,NA50400,NA0.174270444,56,6,3
3024,24,0.753,0.332,1,212,6.648,0.228,1,4,0.125,0.681,1,143,4.484,0.212,1,15,0.47,0.46,1,22705,7014,29719,76.4,23.6,748,2465,3235,6448,25.14894951,85.85763562,103.323926,214.3305111,68.97,10.99536633,95.07,5.420229597,0.100361664,0.111710324,0.213524484,0.396894835,0.396709895,NA52800,0.047212167,64,6,3
3025,4,0.339,1.257,0.8,14,1.188,1.101,0.845,0,0,2.073,0.472,11,0.933,1.312,0.498,3,0.255,1.452,0.735,11147,1591,12738,87.5,12.5,33,138,9,180,3.139584217,15.10394569,0.933389902,19.17691981,47.68,13.66177296,50,7.495453167,0.09535865,0.158485273,0.219119248,0.227799938,0.225798442,NA51600,NA0.52420222,39,4,2
3026,2,0.139,2.773,0.25,19,1.317,2.383,0.38,2,0.139,3.356,0.018,6,0.416,2.66,0.074,5,0.347,2.836,0.074,12141,1363,13504,89.9,10.1,43,206,10,259,3.882149047,16.70710572,0.831889081,21.42114385,21.34,14.23555089,43.03,7.318794127,0.077890953,0.130277443,0.185231389,0.188284454,0.206659946,NA57600,NA1.052540935,13,2,1
3027,2,0.166,1.496,0.737,6,0.497,0.8,0.946,1,0.083,1.329,0.844,3,0.248,0.888,0.891,3,0.248,1.068,0.788,13227,2582,15809,83.7,16.3,44,133,8,185,4.140786749,12.50517598,0.745341615,17.39130435,49.34,17.28385713,56.09,13.74449017,0.109225092,0.13740458,0.235790787,0.254468266,0.305564098,NA44000,NA0.087592744,58,6,3
3028,6,0.903,1.012,1,44,6.622,0.573,1,1,0.15,1.42,0.635,17,2.558,0.713,1,9,1.354,1.071,0.949,4899,1297,6196,79.1,20.9,58,297,20,375,11.88863807,132.4303988,4.514672686,148.8337096,37.84,11.7874441,69.66,5.676853589,0.09686221,0.184931507,0.279508497,0.349049342,0.361290705,NA33200,0.597875848,80,8,4
3029,1,0.174,0.949,1,5,0.868,0.539,1,0,0,1.585,0.377,1,0.174,0.648,1,2,0.347,0.704,0.985,5730,1162,6892,83.1,16.9,81,150,16,247,14.75694444,29.16666667,2.951388889,46.875,51.62,6.936625093,88.23,10.45708401,0.0859375,0.091205212,0.133198857,0.296466485,0.285938816,NA69500,NA1.068533335,11,2,1
