Var_Name_clean,Number of convenience stores in the neighbourhood (plus 50m buffer),Number of convenience stores in the neighbourhood per 1000 people (plus 50m buffer),Average distance to closest three convenience stores (population-weighted),Percent of population within a 15-minute walk of a convenience store,Number of fast food restaurants in the neighbourhood (plus 50m buffer),Number of fast food restaurants in the neighbourhood per 1000 people (plus 50m buffer),Average distance to closest three fast food restaurants (population-weighted),Percent of population within a 15-minute walk of a fast food restaurant,Number of grocery stores in the neighbourhood (plus 50m buffer),Number of grocery stores in the neighbourhood per 1000 people (plus 50m buffer),Average distance to closest three grocery stores (population-weighted),Percent of population within a 15-minute walk of a grocery store,Number of restaurants in the neighbourhood (plus 50m buffer),Number of restaurants in the neighbourhood per 1000 people (plus 50m buffer),Average distance to closest three restaurants (population-weighted),Percent of population within a 15-minute walk of a restaurant,Number of specialty food stores in the neighbourhood (plus 50m buffer),Number of specialty food stores in the neighbourhood per 1000 people (plus 50m buffer),Average distance to closest three specialty food stores (population-weighted),Percent of population within a 15-minute walk of a specialty food store,Number of people attached to a primary care physician,Number of people uncertainly attached to a primary care physician,Percent of people attached to a primary care physician,Percent of people attached to a primary care physician,Percent of people uncertainly attached to a primary care physician,Number of crimes against the person,Number of property crimes,Number of other crimes,Number of total crimes,Number of crimes against the person per 1000 people (plus 50m buffer),Number of property crimes per 1000 people (plus 50m buffer),Number of other crimes per 1000 people (plus 50m buffer),Number of total crimes per 1000 people (plus 50m buffer),Mean walk score,Mean bike score,SES index rank order,SES index decile,SES index quintile,Percent tree canopy coverage,Percent of residential area covered in parkland,Pedestrian network density (km per km squared),Cycling network density (km per km squared),Trail network density (km per km squared),Number of residents within a 15-minute walk of a CHC,Percent of residents within a 15-minute walk of a CHC,Average distance to the nearest CHC (km),Total population (2021),Number of private dwellings,Number of households
3104,15,1.084,0.359,1,89,6.431,0.346,1,2,0.145,1.163,0.779,38,2.746,0.338,1,11,0.795,0.932,0.929,10746,3642,14388,74.7,25.3,282,1059,167,1508,36.2716763,161.5606936,23.04913295,220.8815029,61.58,96.05,97,9,5,19.76,15.81,25.86,9.73,7.1,10564,76.33,1,13840,9065,7430
3105,1,0.36,0.921,1,17,6.115,0.536,1,3,1.079,0.717,1,6,2.158,0.685,1,3,1.079,0.828,1,2494,531,3025,82.4,17.6,31,284,17,332,14.38848921,116.9064748,6.474820144,137.7697842,68.48,85.88,92,9,5,17.01,4.91,11.14,2.6,1.59,0,0,2.92,2780,1205,1150
3106,5,0.225,1.837,0.608,20,0.901,1.115,0.681,2,0.09,2.724,0.251,13,0.586,1.261,0.721,6,0.27,1.41,0.519,18841,2415,21256,88.6,11.4,97,330,24,451,4.414414414,15.63063063,1.081081081,21.12612613,28.29,55.6,9,1,1,25.62,8.86,5.04,5.23,2.87,0,0,6.29,22200,7890,7785
3107,0,0,2.362,0.112,17,1.617,1.403,0.426,3,0.285,1.82,0.335,8,0.761,1.643,0.263,2,0.19,1.898,0.221,3089,428,3517,87.8,12.2,49,172,12,233,4.755111745,17.9743224,1.236329054,23.9657632,5.79,53.33,28,3,2,9.75,11.13,1.43,3.11,4.72,0,0,3.54,10515,3650,3515
3108,5,0.389,1.485,0.809,24,1.867,1.099,0.836,2,0.156,1.9,0.658,14,1.089,1.137,0.841,0,0,2.334,0.194,11621,1827,13448,86.4,13.6,54,162,18,234,4.82302606,18.04745235,1.555814858,24.42629327,31.63,52.55,20,2,1,19.57,11.29,3.81,2.32,2.57,0,0,4.4,12855,4675,4595
3109,2,0.072,2.549,0.481,26,0.935,2.579,0.151,4,0.144,2.735,0.07,13,0.467,2.573,0.14,0,0,3.452,0.04,24531,3623,28154,87.1,12.9,122,638,49,809,4.673737192,23.33273414,1.761639403,29.76811073,12.05,46.88,32,3,2,13.36,16.09,3.97,2.37,2.4,999,3.59,4.04,27815,9520,9035
3110,1,0.213,1.845,0.256,4,0.852,1.139,0.65,1,0.213,2.787,0.517,6,1.278,1.119,0.673,3,0.639,1.313,0.445,4390,639,5029,87.3,12.7,18,30,NA,NA,3.833865815,6.602768903,0,NA,24.13,70.05,45,5,3,34.6,14.92,5.9,5.43,3.48,0,0,5.45,4695,1905,1875
3111,16,1.525,0.384,1,24,2.287,0.415,1,1,0.095,1.345,0.827,21,2.001,0.528,1,4,0.381,0.699,1,7624,2647,10271,74.2,25.8,181,778,115,1074,18.67555979,82.03906622,11.05288232,111.7675083,70.01,88.52,96,9,5,21.55,12.18,18.88,4.37,4.02,10063,95.88,0.94,10495,6060,5515
3112,17,2.321,0.347,1,22,3.003,0.304,1,2,0.273,1.108,1,15,2.048,0.384,1,2,0.273,0.768,1,5496,1976,7472,73.6,26.4,144,891,98,1133,27.16723549,151.3993174,15.6996587,194.2662116,71.35,87.19,106,10,5,15.71,10.34,14.75,4.1,1.6,7381,100.76,0.69,7325,4525,4005
3113,1,0.356,5.06,0,1,0.356,5.642,0.272,0,0,13.287,0,0,0,7.725,0,0,0,13.388,0.055,2591,268,2859,90.6,9.4,12,30,6,48,4.62633452,13.52313167,2.135231317,20.28469751,2.24,26.8,30,3,2,36.28,1.98,0.09,0.11,0.08,0,0,23,2810,1055,1025
3114,0,0,0.977,1,5,1.828,0.713,1,0,0,2.112,0,4,1.463,0.743,1,0,0,2.162,0,1468,351,1819,80.7,19.3,36,74,7,117,15.35648995,35.10054845,2.925045704,53.3820841,33.7032967,71.62637363,67,7,4,29.94,21.41,2.62,2.97,4.45,0,0,2.7,2735,1220,1125
3115,12,1.362,0.341,1,35,3.973,0.235,1,2,0.227,0.928,0.946,85,9.648,0.187,1,9,1.022,0.402,1,7760,2302,10062,77.1,22.9,149,485,42,676,19.0692395,62.31555051,5.561861521,86.94665153,62.77,95.61,95,9,5,13.06,4.6,26.88,6.11,1.31,8695,98.69,0.58,8810,5285,4760
3116,3,0.244,1.097,0.92,22,1.792,0.507,1,3,0.244,0.987,0.92,22,1.792,0.544,1,9,0.733,0.718,0.98,11238,2071,13309,84.4,15.6,83,821,61,965,7.084690554,69.78827362,5.211726384,82.08469055,57.23,97.6,37,4,2,29.39,13.75,12.42,10.76,8.47,1189,9.68,2.27,12280,6790,6275
3117,3,0.262,1.064,0.817,9,0.787,0.772,0.964,1,0.087,1.274,0.868,9,0.787,0.749,0.957,3,0.262,1.033,0.932,9583,1718,11301,84.8,15.2,87,373,52,512,8.13648294,36.3079615,4.899387577,49.34383202,33.38,82.18,71,7,4,25.79,5.96,7.51,6.62,5.03,4542,39.74,2.03,11430,5565,5355
