Data_ID,Non-official languages spoken most often at home,lang_count,ONS_ID
ID1042,          Igbo,0,3013
ID1043,          Kinyarwanda (Rwanda),0,3013
ID1044,          Lingala,0,3013
ID1045,          Luba-Kasai,0,3013
ID1046,          Mòoré,0,3013
ID1047,          Mwani,0,3013
ID1048,          Ndebele,0,3013
ID1049,          Rundi (Kirundi),0,3013
ID1050,          Shona,0,3013
ID1051,          Soninke,0,3013
ID1053,          Swahili,0,3013
ID1054,          Wojenaka,0,3013
ID1055,          Wolof,0,3013
ID1056,          Yoruba,0,3013
ID1059,          Dinka,0,3013
ID1060,          Nuer,0,3013
ID1062,"          African, n.o.s.",0,3013
ID1064,          American Sign Language,0,3013
ID1065,          Quebec Sign Language,0,3013
ID1069,            Hakka,0,3013
ID1070,            Mandarin,45,3013
ID1071,            Min Dong,0,3013
ID1072,"            Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",0,3013
ID1073,            Wu (Shanghainese),0,3013
ID1074,            Yue (Cantonese),45,3013
ID1075,"            Chinese, n.o.s.",0,3013
ID1078,            Burmese,0,3013
ID1081,              S'gaw Karen,0,3013
ID1083,            Tibetan,0,3013
ID1087,          Lao,0,3013
ID1088,          Thai,0,3013
ID1091,          Azerbaijani,0,3013
ID1092,          Kazakh,0,3013
ID1093,          Turkish,25,3013
ID1094,          Uyghur,0,3013
ID1095,          Uzbek,0,3013
ID1098,          Estonian,0,3013
ID1099,          Finnish,0,3013
ID1100,          Hungarian,0,3013
ID877,            Kabyle,0,3015
ID878,            Tamazight,0,3015
ID881,            Hausa,0,3015
ID882,            Mina,0,3015
ID883,          Coptic,0,3015
ID885,            Bilen,0,3015
ID886,            Oromo,0,3015
ID887,            Somali,20,3015
ID890,            Amharic,10,3015
ID891,            Arabic,200,3015
ID893,              Assyrian Neo-Aramaic,0,3015
ID894,              Chaldean Neo-Aramaic,0,3015
ID895,"              Aramaic, n.o.s.",0,3015
ID896,            Harari,0,3015
ID897,            Hebrew,0,3015
ID898,            Maltese,0,3015
ID899,            Tigrigna,0,3015
ID902,          Khmer (Cambodian),0,3015
ID903,          Vietnamese,55,3015
ID906,          Bikol,0,3015
ID907,"          Bisaya, n.o.s.",0,3015
ID908,          Cebuano,0,3015
ID909,          Fijian,0,3015
ID910,          Hiligaynon,0,3015
ID911,          Ilocano,0,3015
ID912,          Indonesian,0,3015
ID913,          Kankanaey,0,3015
ID914,          Kinaray-a,0,3015
ID916,            Merina,0,3015
ID917,"            Malagasy, n.o.s.",0,3015
ID918,          Malay,0,3015
ID919,"          Pampangan (Kapampangan, Pampango)",0,3015
ID920,          Pangasinan,0,3015
ID921,"          Tagalog (Pilipino, Filipino)",30,3015
ID922,          Waray-Waray,0,3015
ID925,          Haitian Creole,15,3015
ID926,          Jamaican English Creole,0,3015
ID927,          Krio,0,3015
ID928,          Morisyen,0,3015
ID929,          Sango,0,3015
ID930,"          Creole, n.o.s.",0,3015
ID933,          Kannada,0,3015
ID934,          Malayalam,0,3015
ID935,          Tamil,25,3015
ID936,          Telugu,0,3015
ID937,          Tulu,0,3015
ID939,        Georgian,0,3015
ID942,          Albanian,15,3015
ID943,          Armenian,0,3015
ID946,              Latvian,0,3015
ID947,              Lithuanian,0,3015
ID949,              Belarusian,0,3015
ID950,              Bulgarian,0,3015
ID951,              Czech,0,3015
ID952,              Macedonian,0,3015
ID953,              Polish,15,3015
ID954,              Russian,110,3015
ID955,              Rusyn,0,3015
ID956,              Serbo-Croatian,15,3015
ID957,                Bosnian,10,3015
ID958,                Croatian,0,3015
ID959,                Serbian,0,3015
ID960,"                Serbo-Croatian, n.i.e.",0,3015
ID961,              Slovak,0,3015
ID962,              Slovene (Slovenian),0,3015
ID963,              Ukrainian,25,3015
ID966,            Irish,0,3015
ID967,            Scottish Gaelic,0,3015
ID968,            Welsh,0,3015
ID971,            Frisian,0,3015
ID973,              German,0,3015
ID974,              Pennsylvania German,0,3015
ID975,              Swiss German,0,3015
ID976,              Yiddish,0,3015
ID978,              Afrikaans,0,3015
ID979,              Dutch,0,3015
ID980,"              Low German, n.o.s.",0,3015
ID981,              Low Saxon,0,3015
ID982,              Plautdietsch,0,3015
ID983,              Vlaams (Flemish),0,3015
ID985,              Danish,0,3015
ID986,              Icelandic,0,3015
ID987,              Norwegian,0,3015
ID988,              Swedish,0,3015
ID990,          Greek,0,3015
ID993,              Assamese,0,3015
ID994,              Bengali,30,3015
ID995,              Gujarati,0,3015
ID996,              Hindi,40,3015
ID997,              Kacchi,0,3015
ID998,              Kashmiri,0,3015
ID999,              Konkani,0,3015
ID1000,              Marathi,0,3015
ID1001,              Nepali,0,3015
ID1003,                Odia,0,3015
ID1004,"                Oriya, n.o.s.",0,3015
ID1005,              Punjabi (Panjabi),60,3015
