ons_ID,walkscore_mean,bikescore_mean,food_convenience_dist_closest_3_popwt,food_fastfood_dist_closest_3_popwt,food_grocery_dist_closest_3_popwt,food_resto_dist_closest_3_popwt,food_specialty_dist_closest_3_popwt,food_convenience_num_per_1000_res_plus_buffer,food_fastfood_num_per_1000_res_plus_buffer,food_grocery_num_per_1000_res_plus_buffer,food_resto_num_per_1000_res_plus_buffer,food_specialty_num_per_1000_res_plus_buffer,crime_person_total_per_1000pop_plus_50m_buffer,crime_property_total_per_1000pop_plus_50m_buffer,crime_other_total_per_1000pop_plus_50m_buffer,crime_total_per_1000pop_plus_50m_buffer,percent_attached,percent_uncertaintly_attached,food_convenience_pct_within_15_mins,food_fastfood_pct_within_15_mins,food_grocery_pct_within_15_mins,food_resto_pct_within_15_mins,food_specialty_pct_within_15_mins
3054,62.04,71.66,0.866,0.569,1.443,0.957,1.34,0.294,1.618,0,0.441,0.147,12.20588235,56.02941176,5.441176471,73.67647059,75.8,24.2,0.99,1,0.879,0.993,0.831
3055,66.96,95.73,0.457,0.263,1.017,0.399,0.4,0.547,2.918,0.091,2.462,1.277,10.12311902,60.37391701,5.380756954,75.87779298,79.9,20.1,1,1,1,1,1
3056,36.73,70.12,0.985,0.942,3.465,1.699,1.353,0.353,0.353,0,0.118,0.118,5.526161082,17.04879483,1.646090535,24.22104644,83.4,16.6,0.981,0.994,0.001,0.718,0.973
3057,38.92753623,54.63768116,NA,NA,NA,NA,NA,120,380,0,200,80,1100,3680,1480,6260,NA,NA,NA,NA,NA,NA,NA
3058,33.26,74.14,0.864,0.521,2.408,0.759,0.925,0.848,2.884,0,1.018,0.679,10.51738762,30.02544529,2.374893978,42.91772689,79.6,20.4,1,1,0.192,1,1
3059,57.09,98.16,0.936,0.51,0.729,0.442,0.514,0.364,3.097,0.364,4.554,1.639,6.193078324,29.69034608,1.092896175,36.97632058,87.7,12.3,0.881,1,1,1,1
3060,22.39,61.4,1.781,1.182,2.299,1.641,1.96,0.201,1.554,0.1,1.003,0.351,3.309100025,20.25570318,1.052895463,24.61769867,86.1,13.9,0.432,0.683,0.313,0.309,0.363
3061,38.84,72.77,1.059,0.876,1.157,0.92,1.254,0.524,1.748,0.35,0.962,0.612,5.332167832,19.05594406,2.272727273,26.66083916,85.8,14.2,0.819,0.99,0.948,0.961,0.524
3062,0.6,29.12,8.613,10.476,17.857,10.242,8.875,0.376,0,0,0,0.376,2.631578947,7.142857143,0.37593985,10.15037594,91.7,8.3,0.04,0,0,0.018,0.005
3063,45.73,84,0.928,0.558,1.194,0.623,0.753,0.35,3.24,0.175,2.014,0.963,6.042031524,27.05779335,2.189141856,35.28896673,85.6,14.4,0.936,1,0.92,1,0.994
3064,49.33333333,94,NA,NA,NA,NA,NA,0,9.091,0,9.091,0,163.6363636,272.7272727,109.0909091,545.4545455,NA,NA,NA,NA,NA,NA,NA
3065,39.86,75.82,0.831,0.549,1.086,0.554,0.83,0.356,1.566,0.214,1.21,0.285,13.1007476,37.73584906,4.699181203,55.53577786,74.9,25.1,1,1,0.909,1,1
3066,22.5,65.47727273,1.432,0.967,2.806,1.215,1.83,0,0,0,0.314,0,4.081632653,13.81475667,1.25588697,19.1522763,84,16,0.332,1,0,1,0.104
3067,71.44,95.56,0.462,0.345,0.88,0.323,0.853,0.871,1.743,0.145,2.033,0.145,37.76325345,162.2367466,42.41103849,242.4110385,76,24,1,1,1,1,1
3068,58.43,95.31,0.308,0.214,0.629,0.233,0.451,1.515,10.269,0.673,15.32,3.535,96.63299663,211.952862,44.10774411,352.6936027,72.3,27.7,1,1,1,1,1
3069,58.38,85.56,0.686,0.515,1.336,0.554,1.159,0.62,1.241,0.124,0.62,0.124,8.684863524,20.5955335,1.985111663,31.26550868,81.1,18.9,1,1,0.627,1,1
3070,17.69,32.89,4.01,2.841,6.069,2.772,3.625,0.287,0.957,0.096,1.628,0.383,4.308281474,13.88224031,0.382958353,18.57348013,90.5,9.5,0.281,0.259,0.117,0.237,0.21
3071,0.19,26.14,11.811,9.22,14.485,9.449,13.376,0,0,0,0.428,0,3.854389722,9.850107066,0.856531049,14.56102784,91.4,8.6,0,0,0,0.006,0
3072,24.51,52.18,1.571,1.309,3.194,1.877,3.629,0,0.33,0,0,0,2.310231023,9.240924092,0.330033003,11.88118812,90,10,0.395,0.692,0,0.277,0
3073,4.52,28.78,7.712,5.043,11.563,6.117,17.427,0.173,0.519,0,0.346,0,3.45721694,10.71737252,0.691443388,14.86603284,91.9,8.1,0.23,0.238,0,0.23,0
3075,1.41,26.2,12.066,10.519,14.047,7.953,12.091,0,0,0,0.257,0,3.603603604,10.2960103,0.772200772,14.67181467,91.6,8.4,0,0.001,0,0.299,0
3074,8.29,33.24,4.196,1.969,6.874,2.152,4.06,0.348,1.161,0.232,0.813,0.232,6.155632985,14.4018583,0.696864111,21.2543554,91.4,8.6,0.409,0.497,0.202,0.454,0.331
3076,4.46,33.85,6.336,7.077,10.453,5.737,9.978,0.655,0.327,0,0.655,0,4.909983633,11.45662848,0,NA,91.5,8.5,0.291,0.215,0,0.216,0
3077,58.97,90.72,0.69,0.442,1.413,0.527,0.999,0.356,1.959,0,1.425,0.356,5.520926091,65.89492431,13.35707925,84.77292965,82,18,1,1,0.967,1,0.893
3078,6.92,32.29,7.999,3.966,11.887,6.763,11.115,0.203,0.609,0,0.203,0,3.245436105,13.59026369,0.405679513,17.24137931,92.6,7.4,0.097,0.13,0,0.071,0
3079,53.99,75.1,0.908,0.71,1.588,0.732,1.385,0.373,0.83,0.041,0.913,0.249,4.480398258,13.98050197,0.954158888,19.41505912,86.1,13.9,1,1,0.648,1,0.498
3080,26.76,67.98,1.26,0.975,2.18,0.961,1.654,0.224,0.851,0.045,0.851,0.09,3.987455197,13.84408602,0.896057348,18.72759857,87.6,12.4,0.925,0.8,0.268,0.909,0.517
3081,42.58,59.4,1.214,0.864,2.001,0.91,2.386,0.301,0.661,0.06,0.601,0,4.688908927,12.62398557,1.562969642,18.87586414,83.1,16.9,0.955,0.964,0.473,0.906,0.09
3082,47.97,95.82,0.578,0.472,1.264,0.6,1.09,0.586,0.82,0.117,0.586,0.117,6.209724663,21.08963093,0.93731693,28.23667252,77.5,22.5,1,1,0.989,1,0.989
3083,41.86,95.81,0.827,0.479,1.042,0.55,0.6,0.309,1.698,0.154,1.543,0.772,4.475308642,19.29012346,0.462962963,24.22839506,84.7,15.3,1,1,0.941,1,1
3084,55.08333333,46.91666667,NA,NA,NA,NA,NA,20,40,0,60,40,120,800,60,980,NA,NA,NA,NA,NA,NA,NA
3085,55.73,NA,1.112,0.621,1.233,0.719,1.1,0.354,2.122,0.088,1.857,0.088,5.128205128,16.18037135,1.326259947,22.63483643,89.3,10.7,0.881,0.989,0.851,0.989,0.805
3086,8.32,31.42,6.367,3.959,10.484,4.921,12.981,0.35,0.7,0.175,0.525,0,4.549431321,9.798775153,1.749781277,16.09798775,92.2,7.8,0.397,0.43,0.288,0.321,0
3087,44.89,88.46,0.648,0.508,1.093,0.641,0.975,0.709,2.742,0.189,1.324,0.473,18.10874704,51.06382979,4.869976359,74.04255319,76.8,23.2,0.955,1,0.863,1,0.979
