name,number_of_seniors_age_65,percent_of_pop_that_are_seniors_age_65,average_age_of_the_population,median_age_of_the_population,number_of_people_living_alone,percent_of_people_living_alone,number_of_after_tax_income_recipients_age_15,average_after_tax_income_in_2020_among_recipients,number_of_market_income_recipients_age_15,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_who_know_neither_english_nor_french,percent_of_people_who_know_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,number_of_pop_in_labour_force,percent_of_pop_in_labour_force_participation_rate,number_of_pop_unemployed,unemployment_rate,number_of_people_age_25_64_with_no_high_school_diploma,percent_of_people_age_25_64_with_no_high_school_diploma,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,percent_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_commute_for_60_minutes_and_over,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24,ONS_ID
ottawa_lowertown_east_3067,1190,1,75.3,74,620,0.5210084033613446,1185,42900,840,45900,36,41700,47400,31.1,390,0.3277310924369748,35,0.02941176470588235,0.02100840336134454,25,0.01680672268907563,20,0,0,0,0,0.17647058823529413,210,140,0.1176470588235294,40,0.2857142857142857,0,NA,0,NA,0,NA,30,0.2857142857142857,0,0,0,435,0.36554621848739494,0,0,3067
ottawa_lowertown_west_3068,915,1,74.5,74,365,0.3989071038251366,910,60800,820,67000,20.8,62300,72600,16.9,110,0.12087912087912088,0,0,0.02197802197802198,20,0.02197802197802198,20,0,0,0,0,0.08241758241758242,75,195,0.21428571428571427,20,0.10256410256410256,0,NA,0,NA,0,NA,100,0.5882352941176471,10,0.0588235294117647,0,240,0.26373626373626374,0,0,3068
ottawa_manor_park_3069,2075,1,75.4,74,860,0.4144578313253012,2050,45720,1625,47040,31.7,43400,47120,28.2,435,0.20963855421686747,65,0.03140096618357488,0.02891566265060241,60,0.0144578313253012,30,0.0144578313253012,30,0,0,0.13012048192771083,270,255,0.12318840579710146,20,0.0784313725490196,0,NA,0,NA,0,NA,115,0.4893617021276595,10,0.0425531914893617,0.08333333333333333,760,0.3671497584541063,0,0,3069
ottawa_manotick_3070,2290,1,74.1,73,395,0.17248908296943233,2285,60250,2145,63000,21.5,58350,64000,18.9,95,0.04139433551198257,35,0.01525054466230936,0.0065359477124183,15,0.00435729847494553,10,0,0,0,0,0.061002178649237473,140,420,0.1830065359477124,35,0.08333333333333333,0,NA,0,NA,0,NA,210,0.5454545454545454,15,0.03896103896103896,0,60,0.0261437908496732,0,0,3070
ottawa_marlborough_3071,410,1,74,73,60,0.14634146341463414,405,44600,375,37400,34.4,45200,40400,28.6,35,0.08536585365853659,0,0,0,0,0,0,0,0,0,0,0,0,75,0.18518518518518515,0,0,0,NA,0,NA,0,NA,25,0.35714285714285715,10,0.14285714285714285,0,0,0,0,0,3071
ottawa_merivale_gardens_grenfell_glen_pineglen_country_place_3072,885,1,75.9,74.5,140,0.15819209039548024,875,63000,810,67000,20.8,61300,68000,18.6,0,0,20,0.02272727272727272,0,0,0,0,0,0,0,0,0.11931818181818182,105,115,0.12994350282485875,15,0.13043478260869565,0,NA,0,NA,0,NA,50,0.4545454545454546,10,0.09090909090909093,0,25,0.0284090909090909,0,0,3072
ottawa_metcalfe_3073,850,1,73.6,72.5,145,0.17058823529411765,855,46100,770,45000,28.8,40400,43400,27.5,55,0.06470588235294118,15,0.01764705882352941,0.01176470588235294,10,0,0,0.01176470588235294,10,0,0,0.02941176470588235,25,195,0.22807017543859648,10,0.05128205128205128,0,NA,0,NA,0,NA,45,0.24324324324324328,10,0.05405405405405406,0.07142857142857142,35,0.04117647058823529,0,0,3073
ottawa_munster_ashton_3075,765,1,73.7,72.5,105,0.13725490196078433,755,51900,675,52100,26.7,45000,44800,28.1,30,0.0392156862745098,10,0.0130718954248366,0.0261437908496732,20,0.0261437908496732,20,0,0,0,0,0.0392156862745098,30,120,0.1568627450980392,0,0,0,NA,0,NA,0,NA,50,0.43478260869565216,25,0.21739130434782608,0.15384615384615383,20,0.0261437908496732,0,0,3075
ottawa_richmond_3074,1570,1,74.2,73,270,0.17197452229299362,1570,56850,1455,61500,23,46960,44760,26.6,90,0.05732484076433121,0,0,0.01592356687898089,25,0.00955414012738853,15,0.00636942675159235,10,0,0,0.02547770700636942,40,255,0.1624203821656051,10,0.0392156862745098,0,NA,0,NA,0,NA,85,0.3469387755102041,20,0.08163265306122448,0.06060606060606061,30,0.01910828025477707,0,0,3074
ottawa_navan_sarsfield_3076,540,1,72.6,71,95,0.17592592592592593,540,44800,475,41200,31.2,44800,42000,27,60,0.1111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,90,0.16666666666666666,0,0,0,NA,0,NA,0,NA,25,0.2777777777777778,15,0.16666666666666666,0,215,0.39814814814814814,0,0,3076
