name,percent_of_residents_aged_25_64_with_no_high_school_degree_or_diploma,percent_of_residents_living_in_low_income_lim_at,unemployment_rate_15_years,percent_of_census_families_that_are_lone_parent,average_household_income_after_tax_2020,median_market_income_individual_2020,participation_rate,unaffordable1_percent_households_spending_30_percent_or_more_of_income_on_shelter_costs,unaffordable2_percent_households_spending_30_percent_to_less_than_100_percent_of_income_on_shelter_costs,unsuitable_housing_percent_households_not_suitable,inadequate_housing_percent_households_major_repairs_needed,percent_households_in_core_housing_need,ONS_ID
borden_farm_fisher_glen_3012,0.04511278195488721,0.08841463414634146,0.10566037735849056,0.15434782608695652,91000,42800,54.6,0.22324966974900928,0.18758256274768825,0.02506596306068601,0.03693931398416886,0.11491108071135432,3012
braemar_park_belair_heights_copeland_park_3013,0.07556935817805382,0.07298050139275766,0.11663286004056796,0.1589958158995816,90900,40000,63.3,0.21794871794871795,0.1935897435897436,0.04591836734693878,0.04974489795918367,0.13517060367454067,3013
bridlewood_emerald_meadows_3014,0.03682719546742209,0.04571984435797665,0.08952702702702703,0.1213527851458886,123200,54800,71.6,0.1109865470852018,0.10201793721973094,0.03303471444568869,0.01959686450167973,0.0503393665158371,3014
britannia_3015,0.11529933481152992,0.1712085308056872,0.1380952380952381,0.24519230769230768,69000,34800,56.8,0.29782359679266895,0.27147766323024053,0.07753705815279362,0.112884834663626,0.2352941176470588,3015
brookside_briarbrook_morgans_grant_3016,0.0214158239143367,0.05298869143780291,0.0924956369982548,0.13821138211382114,123700,52000,71.7,0.134479271991911,0.11627906976744186,0.04641775983854692,0.02320887991927346,0.06069958847736625,3016
cardinal_creek_3017,0.04314002828854314,0.02207591014717273,0.08059100067159167,0.15127175368139223,124600,57200,71.9,0.13919821826280623,0.13028953229398663,0.03114571746384872,0.02780867630700778,0.04269662921348315,3017
carleton_heights_courtland_park_3018,0.08980582524271845,0.13194868662186926,0.13496280552603612,0.21025641025641023,89100,32800,65.1,0.26666666666666666,0.22916666666666663,0.07713498622589532,0.06060606060606061,0.1544011544011544,3018
carlington_3020,0.11555312157721796,0.1855637176620888,0.12903225806451613,0.2490470139771283,75900,38000,65.9,0.22836879432624113,0.20709219858156028,0.09071729957805907,0.1040787623066104,0.2001450326323423,3020
carp_3021,0.02652106084243369,0.04419889502762431,0.07428571428571429,0.08311688311688312,152600,56800,66.9,0.1210762331838565,0.1031390134529148,0.01548672566371681,0.03761061946902655,0.04805491990846682,3021
carson_grove_carson_meadows_3022,0.08356039963669391,0.11531007751937984,0.1022944550669216,0.23404255319148937,86400,40000,58.5,0.22875816993464052,0.2058823529411765,0.05863192182410423,0.05428881650380022,0.13489409141583056,3022
centrepointe_briargreen_3023,0.03826266804550155,0.06919275123558484,0.11717974180734857,0.1640926640926641,118400,50400,64.1,0.1671309192200557,0.13649025069637882,0.04735376044568245,0.03203342618384401,0.08620689655172414,3023
centretown_3024,0.04559270516717325,0.15752551020408162,0.1003616636528029,0.11171032357473036,82000,52800,75,0.31191066997518613,0.27344913151364764,0.04499631177772314,0.06884681583476764,0.15737874097007223,3024
chapel_hill_north_3025,0.04801324503311258,0.05189281156954487,0.09535864978902954,0.1584852734922861,122300,51600,60.7,0.12013729977116704,0.10640732265446225,0.03424657534246575,0.03082191780821917,0.05098493626882966,3025
chapel_hill_south_3026,0.03431066749844042,0.03545103545103545,0.07789095266626722,0.13027744270205066,127000,57600,72.9,0.14123711340206185,0.1309278350515464,0.0411522633744856,0.02469135802469135,0.04270833333333333,3026
