name,total_population,number_of_youth_age_15_24,percent_of_of_pop_that_are_youth_age_15_24,percent_of_pop_that_are_seniors_65,percent_of_pop_that_are_recent_immigrants_arr_2016_2021,percent_of_pop_that_are_immigrants,percent_of_pop_that_are_indigenous,percent_of_pop_that_are_fn,percent_of_pop_that_are_metis,percent_of_pop_that_are_inuit,percent_of_pop_that_are_racialized,percent_of_pop_that_are_refugees,percent_of_immigrants_that_are_refugees,percent_of_pop_with_knowledge_of_neither_english_nor_french,percent_of_pop_age_25_64_with_no_high_school_diploma_or_equivalent,percent_of_pop_living_alone,unemployment_rate,average_after_tax_income_in_2020_among_recipients,average_market_income_in_2020_among_recipients,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,percent_of_income_from_government_transfers_2020,percent_of_pop_age_25_64_with_postsecondary_degree_diploma_certificate,number_of_refugees,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_0_17_in_low_income_based_on_lim_at,percent_of_people_0_17_in_low_income_based_on_lim_at,number_of_people_18_64_in_low_income_based_on_lim_at,percent_of_people_18_64_in_low_income_based_on_lim_at,number_of_people_65_in_low_income_based_on_lim_at,percent_of_people_65_in_low_income_based_on_lim_at,average_age_of_the_population,median_age_of_the_population,number_of_seniors_65,number_of_children_living_in_one_parent_families,percent_of_children_living_in_one_parent_families,number_of_people_who_are_indigenous,number_of_people_who_are_fn,number_of_people_who_are_metis,number_of_people_who_are_inuit,number_of_immigrants,number_of_recent_immigrants_arr_2016_2021,number_of_people_with_knowledge_of_neither_english_nor_french,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_with_knowledge_of_only_french_as_an_official_language,number_of_workers_age_15_who_commute_by_car_truck_or_van,percent_of_workers_age_15_who_commute_by_car_truck_or_van,number_of_workers_age_15_who_commute_by_public_transit,percent_of_workers_age_15_who_commute_by_public_transit,number_of_workers_age_15_who_commute_by_walking,percent_of_workers_age_15_who_commute_by_walking,number_of_workers_age_15_who_commute_by_bicycle,percent_of_workers_age_15_who_commute_by_bicycle,number_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_by_other_means,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_people_age_25_64_with_a_high_school_diploma,percent_of_workers_who_commute_for_60_minutes_and_over,number_of_people_who_are_racialized,number_self_identified_as_south_asian,number_self_identified_as_chinese,number_self_identified_as_black,number_self_identified_as_filipino,number_self_identified_as_arab,number_self_identified_as_latin_american,number_self_identified_as_southeast_asian,number_self_identified_as_west_asian,number_self_identified_as_korean,number_self_identified_as_japanese,number_self_identified_with_other_visible_minority,number_self_identified_with_multiple_visible_minorities,number_of_people_who_are_non_racialized,percent_self_identified_as_south_asian,percent_self_identified_as_chinese,percent_self_identified_as_black,percent_self_identified_as_filipino,percent_self_identified_as_arab,percent_self_identified_as_latin_american,percent_self_identified_as_southeast_asian,percent_self_identified_as_west_asian,percent_self_identified_as_korean,percent_self_identified_as_japanese,percent_self_identified_with_other_visible_minority,percent_self_identified_with_multiple_visible_minorities,percent_of_people_who_are_non_racialized
ottawa_ons2022_braemar_park_belair_heights_copeland_park_3013_00000_4_5_percent,230,25,0.108695652,0.108695652,0,0,1,0.311111111,0.511111111,0,0,0,NA,0,0.161290323,0.195652174,13.8,44000,49200,40800,48400,10.8,18,0.580645161,0,20,0.088888889,0,NA,20,0.108108108,0,0,42.6,38.8,10.9,10,0.4,225,70,115,0,0,0,0,0,NA,0,NA,65,0.8125,10,0.125,0,0,0,0,0,0,45,0.346153846,20,0.153846154,0.870967742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,1
ottawa_ons2022_bridlewood_emerald_meadows_3014_00000_1_2_percent,525,50,0.095238095,0.076190476,0,0,1,0.59047619,0.380952381,0,0,0,NA,0,0.074074074,0.057142857,9.8,53600,60000,50400,55200,11.8,13.8,0.814814815,0,30,0.056603774,0,0,20,0.063492063,0,0,32.3,33.2,7.6,65,0.282608696,525,310,200,0,0,0,0,20,Inf,0,NA,110,0.956521739,0,0,0,0,0,0,0,0,110,0.488888889,20,0.088888889,0.944444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525,0,0,0,0,0,0,0,0,0,0,0,0,1
ottawa_ons2022_britannia_3015_00000_4_2_percent,230,15,0.065217391,0.130434783,0,0,1,0.304347826,0.543478261,0.086956522,0,0,NA,0,0.193548387,0.282608696,16,42400,49000,40800,45200,17,22.4,0.580645161,0,55,0.244444444,0,0,45,0.264705882,0,0,42.4,42.8,13,25,0.555555556,230,70,125,20,0,0,0,10,Inf,0,NA,30,0.545454545,10,0.181818182,10,0.181818182,0,0,0,0,50,0.476190476,0,0,0.774193548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,1
ottawa_ons2022_brookside_briarbrook_morgans_grant_3016_00000_1_0_percent,315,50,0.158730159,0.031746032,0,0,1,0.580645161,0.370967742,0,0,0,NA,0,0.1,0.031746032,15.6,50800,61200,53200,66500,6.8,10,0.766666667,0,50,0.158730159,0,0,25,0.135135135,0,NA,29.9,27.4,3.2,45,0.310344828,310,180,115,0,0,0,0,35,Inf,0,NA,65,0.928571429,0,0,0,0,0,0,0,0,65,0.5,15,0.115384615,0.933333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,0,0,0,0,0,0,0,0,0,0,0,0,1
ottawa_ons2022_brudenell_lyndoch_and_raglan_3704_00000_5_1_percent,80,20,0.25,0.375,0,0,1,0.25,0.6875,0,0,0,NA,0,0,0.1875,50,24000,23000,24000,24000,36,44,0.5,0,15,0.2,0,NA,0,0,0,0,47,49.2,37.5,0,0,80,20,55,0,0,0,0,0,NA,0,NA,15,1,0,0,0,0,0,0,0,0,0,0,10,0.666666667,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,1
ottawa_ons2022_cardinal_creek_3017_00000_1_7_percent,390,70,0.179487179,0.076923077,0,0,1,0.346153846,0.564102564,0.025641026,0,0,NA,0,0.095238095,0.051282051,6.8,52000,54000,50000,56400,7.4,12,0.714285714,0,0,0,0,0,0,0,0,0,35.4,32,7.7,100,0.625,390,135,220,10,0,0,0,145,Inf,15,Inf,105,0.875,10,0.083333333,0,0,0,0,0,0,90,0.43902439,10,0.048780488,0.904761905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390,0,0,0,0,0,0,0,0,0,0,0,0,1
ottawa_ons2022_carleton_heights_courtland_park_3018_00000_3_6_percent,210,55,0.261904762,0,0,0,1,0.452380952,0.357142857,0,0,0,NA,0,0.111111111,0.119047619,8,45000,54000,38000,45000,6.6,12,0.722222222,0,0,0,0,0,0,0,0,NA,29.2,24.8,0,30,0.428571429,210,95,75,0,0,0,0,15,Inf,0,NA,55,0.785714286,15,0.214285714,0,0,0,0,0,0,45,0.391304348,0,0,0.888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,1
ottawa_ons2022_carleton_place_3402_00000_2_3_percent,570,125,0.219298246,0.096491228,0,0,1,0.442477876,0.433628319,0.061946903,0,0,NA,0,0.078431373,0.078947368,4.8,41000,43800,37800,43000,13,19,0.509803922,0,60,0.105263158,0,0,40,0.114285714,0,0,33.8,28.6,9.6,70,0.269230769,565,250,245,35,0,0,0,10,Inf,0,NA,185,0.880952381,0,0,10,0.047619048,0,0,10,0.047619048,85,0.293103448,50,0.172413793,0.901960784,0.119047619,0,0,0,0,0,0,0,0,0,0,0,0,0,565,0,0,0,0,0,0,0,0,0,0,0,0,1
ottawa_ons2022_carleton_university_3019_09999_0_0_percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ottawa_ons2022_carlington_3020_00000_4_4_percent,610,120,0.196721311,0.040983607,0,0.016260163,1,0.536585366,0.268292683,0.12195122,0,0,NA,0,0.166666667,0.213114754,17.1,40800,48400,36200,47200,14.3,22.8,0.602564103,0,135,0.221311475,0,0,105,0.221052632,0,0,35,33.6,4.1,110,0.628571429,615,330,165,75,10,0,0,10,Inf,0,NA,125,0.675675676,40,0.216216216,15,0.081081081,0,0,0,0,105,0.355932203,35,0.118644068,0.820512821,0.054054054,0,0,0,0,0,0,0,0,0,0,0,0,0,615,0,0,0,0,0,0,0,0,0,0,0,0,1
