name,number_of_seniors_age_65,percent_of_pop_that_are_seniors_age_65,average_age_of_the_population,median_age_of_the_population,number_of_people_living_alone,percent_of_people_living_alone,number_of_after_tax_income_recipients_age_15,average_after_tax_income_in_2020_among_recipients,number_of_market_income_recipients_age_15,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_who_know_neither_english_nor_french,percent_of_people_who_know_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,number_of_pop_in_labour_force,percent_of_pop_in_labour_force_participation_rate,number_of_pop_unemployed,unemployment_rate,number_of_people_age_25_64_with_no_high_school_diploma,percent_of_people_age_25_64_with_no_high_school_diploma,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,percent_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_commute_for_60_minutes_and_over,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24
ottawa_ons2022_pikwakanagan_golden_lake_39_3717_03030_38_6_percent,70,1,73,73,20,0.2857142857142857,70,31000,40,20000,60,30000,26000,56,30,0.42857142857142855,0,0,0.8571428571428571,60,0.7857142857142857,55,0,0,0,0,0,0,10,0.15384615384615385,0,0,0,NA,0,NA,0,NA,0,0,0,0,NA,0,0,0,0
ottawa_ons2022_pineview_3089_00000_3_1_percent,935,1,73.6,72,190,0.20320855614973263,930,40000,740,35400,38.2,39600,37500,32.6,105,0.11229946524064172,15,0.016042780748663103,0.0213903743315508,20,0.0213903743315508,20,0,0,0,0,0.32620320855614976,305,125,0.13368983957219252,15,0.12,0,NA,0,NA,0,NA,35,0.3181818181818182,10,0.09090909090909091,0.13333333333333333,180,0.1925133689839572,0,0
ottawa_ons2022_playfair_park_guildwood_estates_3090_00000_2_3_percent,1580,1,76.6,75,470,0.2974683544303797,1570,56750,1425,59650,23.5,55700,59750,20.9,150,0.0946372239747634,30,0.0189873417721519,0.012658227848101266,20,0.006329113924050633,10,0.006329113924050633,10,0,0,0.16139240506329114,255,225,0.14240506329113925,30,0.13333333333333333,0,NA,0,NA,0,NA,80,0.41025641025641024,15,0.07692307692307693,0,230,0.14556962025316456,0,0
ottawa_ons2022_portobello_south_3091_00000_1_9_percent,2680,1,72.6,71,400,0.14925373134328357,2635,42560,2190,39320,33.8,41040,40360,29.3,230,0.08582089552238806,220,0.08208955223880597,0.014925373134328358,40,0.007462686567164179,20,0.007462686567164179,20,0,0,0.3619402985074627,970,455,0.17009345794392525,60,0.13186813186813187,0,NA,0,NA,0,NA,125,0.32051282051282054,65,0.16666666666666666,0.07407407407407407,745,0.27798507462686567,0,0
ottawa_ons2022_qualicum_redwood_3092_00000_1_9_percent,680,1,75.6,75,145,0.21323529411764705,680,56700,595,64000,21.8,56500,68000,19.1,55,0.08148148148148149,15,0.022058823529411766,0,0,0,0,0,0,0,0,0.14705882352941177,100,115,0.17037037037037037,10,0.08695652173913043,0,NA,0,NA,0,NA,30,0.2727272727272727,0,0,0,25,0.03676470588235294,0,0
ottawa_ons2022_queensway_terrace_north_3093_00000_3_0_percent,560,1,75.6,74,110,0.19642857142857142,555,42400,510,36400,34,41600,36600,31,25,0.04504504504504504,10,0.018018018018018018,0.018018018018018018,10,0,0,0,0,0,0,0.05405405405405406,30,70,0.12612612612612611,0,0,0,NA,0,NA,0,NA,40,0.6666666666666666,0,0,0,10,0.018018018018018018,0,0
ottawa_ons2022_queenswood_chatelaine_3094_00000_3_9_percent,1020,1,73.6,72.5,210,0.20588235294117646,1015,44200,930,37200,33.4,42900,38900,29.8,20,0.0196078431372549,35,0.034482758620689655,0.014778325123152709,15,0,0,0.009852216748768473,10,0,0,0.08866995073891626,90,125,0.12315270935960591,15,0.12,0,NA,0,NA,0,NA,30,0.2727272727272727,15,0.13636363636363635,0,310,0.3054187192118227,0,0
ottawa_ons2022_queenswood_heights_3095_00000_1_5_percent,2395,1,73.7,72.5,440,0.1837160751565762,2395,45320,2170,39960,32,44240,40720,28.7,85,0.03549060542797495,15,0.006263048016701462,0.014613778705636743,35,0.008350730688935281,20,0.006263048016701462,15,0,0,0.09812108559498957,235,275,0.11482254697286012,20,0.07272727272727272,0,NA,0,NA,0,NA,95,0.37254901960784315,10,0.0392156862745098,0.0625,685,0.2860125260960334,0,0
ottawa_ons2022_renfrew_3718_00000_1_7_percent,2335,1,74.7,73.5,815,0.3490364025695932,2320,35640,1885,25080,48.1,34760,26160,44.1,450,0.19313304721030042,0,0,0.042826552462526764,100,0.014989293361884369,35,0.02569593147751606,60,0,0,0.006423982869379015,15,285,0.1223175965665236,25,0.08771929824561403,0,NA,0,NA,0,NA,50,0.19230769230769232,30,0.11538461538461539,0.13953488372093023,25,0.010706638115631691,0,0
ottawa_ons2022_rideaucrest_davidson_heights_3097_00000_1_4_percent,1410,1,73.2,72,215,0.1524822695035461,1400,42840,1150,40400,33.6,42040,44200,28.4,125,0.08865248226950355,170,0.12099644128113879,0.010676156583629894,15,0.010676156583629894,15,0,0,0,0,0.40213523131672596,565,325,0.23049645390070922,40,0.12307692307692308,0,NA,0,NA,0,NA,100,0.3448275862068966,20,0.06896551724137931,0.05405405405405406,40,0.028469750889679714,0,0
ottawa_ons2022_riverside_park_mooneys_bay_3098_00000_2_5_percent,995,1,75.5,74,280,0.2814070351758794,995,49100,865,48000,27.9,47600,47500,26.1,135,0.13636363636363635,15,0.01507537688442211,0.01507537688442211,15,0.010050251256281407,10,0.01507537688442211,15,0,0,0.08542713567839195,85,160,0.16080402010050251,30,0.1875,0,NA,0,NA,0,NA,70,0.56,0,0,0,60,0.06030150753768844,0,0
ottawa_ons2022_riverside_park_south_revelstoke_3099_00000_2_1_percent,790,1,75.8,74.5,125,0.15822784810126583,790,59500,730,60700,22.3,55200,56700,21.8,20,0.02531645569620253,10,0.012658227848101266,0.012658227848101266,10,0.012658227848101266,10,0.012658227848101266,10,0,0,0.08860759493670886,70,80,0.10126582278481013,0,0,0,NA,0,NA,0,NA,35,0.4375,0,0,0,50,0.06329113924050633,0,0
