name,percent_of_residents_aged_25_64_with_no_high_school_degree_or_diploma,percent_of_residents_living_in_low_income_lim_at,unemployment_rate_15_years,percent_of_census_families_that_are_lone_parent,average_household_income_after_tax_2020,median_market_income_individual_2020,participation_rate,unaffordable1_percent_households_spending_30_percent_or_more_of_income_on_shelter_costs,unaffordable2_percent_households_spending_30_percent_to_less_than_100_percent_of_income_on_shelter_costs,unsuitable_housing_percent_households_not_suitable,inadequate_housing_percent_households_major_repairs_needed,percent_households_in_core_housing_need
ons2022_orleans_industrial_3084_09999_0_0_percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ons2022_orleans_village_chateauneuf_3085_00000_1_6_percent,0.05285234899328859,0.03342245989304813,0.09499575911789652,0.12696148359486448,112600,48400,62.2,0.08591885441527446,0.081145584725537,0.032066508313539195,0.040380047505938245,0.03597122302158273
ons2022_osgoode_vernon_3086_00000_1_6_percent,0.09149277688603531,0.045495093666369314,0.06636500754147813,0.1016949152542373,111800,46400,71.1,0.12121212121212122,0.11868686868686869,0.014563106796116505,0.08009708737864078,0.07575757575757576
ons2022_overbrook_3087_00000_5_0_percent,0.15695067264573992,0.19725102483723173,0.14961832061068703,0.2885572139303483,72300,32800,57.3,0.25293788472299944,0.23167319529938443,0.10144927536231885,0.09698996655518395,0.19404693760732686
ons2022_parkwood_hills_3088_00000_5_9_percent,0.17405582922824303,0.2309623430962343,0.1761744966442953,0.25769230769230766,64100,24400,64.5,0.3918918918918919,0.36711711711711714,0.24161073825503357,0.07158836689038031,0.3210161662817552
ons2022_pembroke_3715_00000_3_1_percent,0.1380543633762518,0.16501650165016502,0.1241883116883117,0.24119947848761408,67400,30600,53.1,0.222052067381317,0.2082695252679939,0.03361344537815126,0.08403361344537816,0.11577311577311578
ons2022_perth_3407_00000_2_5_percent,0.12867647058823528,0.14043583535108958,0.12909441233140656,0.20056497175141244,66900,32000,47.1,0.22935779816513763,0.21712538226299694,0.02599388379204893,0.0581039755351682,0.11282843894899536
ons2022_petawawa_3716_00000_2_3_percent,0.07325819672131148,0.03878437047756874,0.06342494714587738,0.11824668705402651,95000,56400,70.8,0.08531157270029674,0.08160237388724036,0.019230769230769232,0.058431952662721894,0.02084884586746091
ons2022_pikwakanagan_golden_lake_39_3717_03030_38_6_percent,0.22916666666666666,0.28125,0.1282051282051282,0.39285714285714285,59200,20200,52.7,NA,NA,0.08108108108108109,0.21621621621621623,NA
ons2022_pineview_3089_00000_3_1_percent,0.11273792093704246,0.07568438003220612,0.10029940119760479,0.24709302325581395,93300,40400,64.5,0.16379310344827586,0.15301724137931033,0.08387096774193549,0.08602150537634409,0.1111111111111111
ons2022_playfair_park_guildwood_estates_3090_00000_2_3_percent,0.06143344709897611,0.06950122649223221,0.08032786885245902,0.15028901734104047,113200,49600,58.9,0.2011605415860735,0.18568665377176016,0.04061895551257253,0.05609284332688588,0.11591355599214145
ons2022_portobello_south_3091_00000_1_9_percent,0.054400977995110025,0.04549255728382673,0.085976875185295,0.16686674669867949,117600,54400,73.1,0.16474133601205423,0.15168257157207435,0.04962406015037594,0.015037593984962405,0.06055979643765903
ons2022_qualicum_redwood_3092_00000_1_9_percent,0.08298755186721991,0.10068649885583524,0.13247863247863248,0.21031746031746032,107300,46000,63.8,0.15273775216138327,0.14121037463976946,0.04285714285714286,0.07142857142857142,0.11370262390670553
ons2022_queensway_terrace_north_3093_00000_3_0_percent,0.07650273224043716,0.061823802163833076,0.07202216066481995,0.19170984455958548,89800,48400,65.5,0.19413919413919414,0.17582417582417584,0.029304029304029304,0.06227106227106227,0.09293680297397769
ons2022_queenswood_chatelaine_3094_00000_3_9_percent,0.07743362831858407,0.044444444444444446,0.09817351598173515,0.1590909090909091,93400,44400,59.9,0.1880108991825613,0.17983651226158037,0.035422343324250684,0.04087193460490463,0.06593406593406594
ons2022_queenswood_heights_3095_00000_1_5_percent,0.06315789473684211,0.046906187624750496,0.08225966303270565,0.15165876777251186,98500,46400,58.6,0.13317191283292978,0.12106537530266344,0.02418379685610641,0.03385731559854897,0.07107843137254902
ons2022_renfrew_3718_00000_1_7_percent,0.16579634464751958,0.16804583068109485,0.1056547619047619,0.21748878923766815,64300,27600,49,0.19746835443037974,0.189873417721519,0.02654867256637168,0.08596713021491782,0.07407407407407407
ons2022_rideaucrest_davidson_heights_3097_00000_1_4_percent,0.05534351145038168,0.0482348829080741,0.09521028037383178,0.1453416149068323,124600,48800,71.6,0.15228966986155484,0.1448349307774228,0.05100956429330499,0.028692879914984058,0.06974248927038626
ons2022_riverside_park_mooneys_bay_3098_00000_2_5_percent,0.07959183673469387,0.13861386138613863,0.13742071881606766,0.15546218487394958,86100,38000,60.7,0.2916666666666667,0.25245098039215685,0.08557457212713937,0.06845965770171149,0.19948849104859334
ons2022_riverside_park_south_revelstoke_3099_00000_2_1_percent,0.01818181818181818,0.032423208191126277,0.07241379310344828,0.10674157303370786,143200,55200,58.4,0.09913793103448276,0.08620689655172414,0.01293103448275862,0.06465517241379311,0.05240174672489083
ons2022_riverside_south_leitrim_3100_00000_0_9_percent,0.028288543140028287,0.04513251115192863,0.08446251129177959,0.13075506445672191,134000,60000,74.9,0.15057915057915058,0.13745173745173744,0.03009259259259259,0.016975308641975308,0.0548159749412686
ons2022_riverview_3101_00000_3_8_percent,0.06090225563909774,0.17838899803536346,0.11853448275862069,0.17355371900826447,78400,38000,62.3,0.2945091514143095,0.24292845257903495,0.10517666392769104,0.06820049301561217,0.16842105263157894
ons2022_rockcliffe_park_3102_00000_5_0_percent,0,0.0486322188449848,0.05625,0.09183673469387756,297000,86000,57.1,0.18018018018018017,0.13513513513513514,0,0.04504504504504504,0
ons2022_rothwell_heights_beacon_hill_north_3103_00000_1_8_percent,0.05226130653266332,0.047980997624703085,0.11467444120505345,0.17857142857142858,119400,49200,58.4,0.12406015037593984,0.11278195488721804,0.02875,0.065,0.06717363751584284
ons2022_russell_3607_00000_1_3_percent,0.06832871652816251,0.037037037037037035,0.05374887082204156,0.11064543168482817,109100,53200,71,0.11826452064380685,0.10636808957312806,0.021453287197231833,0.03875432525951557,0.056617126680820945
ons2022_sandy_hill_3104_00010_10_1_percent,0.050364963503649635,0.2289876727680239,0.17370892018779344,0.18875502008032127,72000,32800,69.2,0.4013793103448276,0.32413793103448274,0.06549628629304524,0.09453072248480757,0.1576980568011958
ons2022_smiths_falls_3408_00000_2_2_percent,0.21087680355160932,0.1717116125481563,0.10099750623441396,0.25851703406813625,63800,28800,52.5,0.25787631271878647,0.24387397899649943,0.05336426914153132,0.09744779582366589,0.1301775147928994
ons2022_south_dundas_3806_00000_2_2_percent,0.1522748375116063,0.10998619420156466,0.10068426197458455,0.13843888070692195,78600,33600,55.4,0.13966480446927373,0.12849162011173185,0.030204962243797196,0.08414239482200647,0.04180790960451977
ons2022_south_glengarry_3807_00000_1_7_percent,0.08764044943820225,0.08591975775927328,0.0851985559566787,0.10481927710843374,93200,37200,61.7,0.12790697674418605,0.11724806201550388,0.02394106813996317,0.061694290976058934,0.03232125367286973
ons2022_south_keys_3105_00000_2_1_percent,0.05555555555555555,0.1111111111111111,0.17454545454545456,0.16911764705882354,82800,31000,57.4,0.2317596566523605,0.1888412017167382,0.038461538461538464,0.042735042735042736,0.13513513513513514
ons2022_south_stormont_3808_00000_1_8_percent,0.10305614783226724,0.07419835943325877,0.06767458603311735,0.11228070175438597,89500,38800,61.6,0.10764872521246459,0.09537299338999056,0.014787430683918669,0.06746765249537892,0.03533906399235912
ons2022_stittsville_3106_00000_1_1_percent,0.033928571428571426,0.022975432211101002,0.08585858585858586,0.10755148741418764,130800,55200,66.7,0.11832797427652733,0.10546623794212219,0.01605651894669236,0.01991008349389852,0.038411458333333336
ons2022_stittsville_east_3107_00000_1_9_percent,0.030254777070063694,0.0494061757719715,0.09367493995196156,0.1254071661237785,116800,56800,78.1,0.17963224893917965,0.16548797736916548,0.04084507042253521,0.007042253521126761,0.06312769010043041
ons2022_stittsville_north_3108_00000_1_2_percent,0.03465003465003465,0.04681353265145555,0.0837874659400545,0.12431693989071038,117600,60000,74.9,0.1741511500547645,0.14895947426067907,0.020765027322404372,0.013114754098360656,0.05393258426966292
ons2022_stonebridge_half_moon_bay_3109_00000_3_0_percent,0.03177822853279243,0.05815446707026234,0.09115371678439287,0.12566137566137567,120600,54400,72.6,0.1947250280583614,0.17059483726150393,0.046420581655480984,0.010067114093959731,0.06497987349051179
ons2022_tay_valley_3409_00000_8_9_percent,0.10758377425044091,0.09155555555555556,0.11132075471698114,0.09424083769633508,86200,35600,53.6,0.13118279569892474,0.11827956989247312,0.020618556701030927,0.07010309278350516,0.032679738562091505
ons2022_the_nation_la_nation_3608_00000_1_4_percent,0.09798657718120805,0.06273764258555133,0.050518134715025906,0.099626400996264,95200,46000,71.9,0.13217213114754098,0.11782786885245902,0.02056807051909892,0.07051909892262488,0.02702702702702703
ons2022_trend_arlington_3110_00000_2_8_percent,0.06458333333333334,0.040837696335078534,0.11293634496919917,0.14675767918088736,113400,51600,61.1,0.14133333333333334,0.128,0.034482758620689655,0.05305039787798409,0.07859078590785908
ons2022_vanier_north_3111_00000_7_0_percent,0.11562998405103668,0.17258142926592124,0.10841283607979185,0.25343811394891946,72100,40800,64.2,0.30327868852459017,0.27049180327868855,0.06255666364460562,0.10335448776065277,0.21657250470809794
ons2022_vanier_south_3112_00000_6_9_percent,0.13523573200992556,0.22002820874471085,0.1581081081081081,0.25573770491803277,58300,29400,57.5,0.3622641509433962,0.32955974842767294,0.08625,0.1,0.28608582574772434
ons2022_vars_3113_00000_1_2_percent,0.08950617283950617,0.04601769911504425,0.04984423676012461,0.10112359550561797,110200,50400,66.5,0.11707317073170732,0.1073170731707317,0.018867924528301886,0.08018867924528301,0.058823529411764705
ons2022_waterridge_village_3114_00000_5_0_percent,0.07241379310344828,0.12573673870333987,0.07037037037037037,0.2366412213740458,92200,51200,64.7,0.21621621621621623,0.20270270270270271,0.06278026905829596,0.06726457399103139,0.1187214611872146
ons2022_west_centretown_3115_00000_6_6_percent,0.10146341463414635,0.22934131736526947,0.12586719524281467,0.17886178861788618,68000,40800,67.2,0.3109691160809372,0.2790202342917998,0.05268703898840885,0.10642781875658588,0.21499448732083792
ons2022_westboro_3116_00000_4_2_percent,0.03804737975592247,0.11368334022323275,0.07850330154071901,0.12844036697247707,104500,64000,65.3,0.21560740144810941,0.1906677393403057,0.040032025620496396,0.0544435548438751,0.1222130470685384
ons2022_whitehaven_woodpark_glabar_park_3117_00000_2_7_percent,0.07495256166982922,0.10411846367422489,0.09905660377358491,0.14516129032258066,91400,45200,55.8,0.23436041083099907,0.21568627450980393,0.038033395176252316,0.08070500927643785,0.15699333967649856
ons2022_whitewater_region_3719_00000_3_1_percent,0.07938718662952646,0.11142454160789844,0.07814761215629522,0.11832946635730858,81700,34400,59.1,0.13211009174311927,0.12844036697247707,0.02577319587628866,0.1013745704467354,0.05166051660516605
oeycfc_39_ottawa_north_east_00000_3_7_percent,0.1116816431322208,0.15308924485125858,0.11677479147358666,0.24804856895056374,79100,38800,57.5,0.24240963855421688,0.2197590361445783,0.06445406445406446,0.07647907647907648,0.16715976331360946
oeycfc_40_ottawa_south_00000_3_2_percent,0.01522248243559719,0.04529616724738676,0.09574468085106383,0.11270491803278689,157200,67000,65.8,0.14053254437869822,0.12130177514792899,0.019230769230769232,0.06804733727810651,0.049773755656108594
oeycfc_41_ottawa_west_00000_3_4_percent,0.03376797057840187,0.08756778469572203,0.08242303872889771,0.11372251705837756,111500,63600,70.3,0.21346077260055754,0.19195539625647154,0.03650793650793651,0.06626984126984127,0.11391375101708706
oeycfc_38_ottawa_east_sandy_hill_00000_7_6_percent,0.051295073641442354,0.21132272371510566,0.15604959384352288,0.16602809706257982,78100,36400,66.9,0.35692921236291125,0.288135593220339,0.07289628180039139,0.0949119373776908,0.14820759764579988
chrc_13_western_ottawa_community_resource_centre_00000_1_8_percent,0.03811683403520138,0.047974444605779,0.08911256323777403,0.121446775142129,120200,52400,68.3,0.14659219685931682,0.13032216286223086,0.02765940339310123,0.03079520784755166,0.05924463095531968
chrc_11_south_east_ottawa_community_health_centre_00000_3_6_percent,0.09511070110701107,0.13518072289156627,0.12414049433190857,0.21257100971229614,90300,38800,61.6,0.22091121495327104,0.19380841121495326,0.0941860465116279,0.06197674418604651,0.15584103733941648
chrc_3_eastern_ottawa_resource_centre_00000_2_0_percent,0.06812575115440572,0.06859144965131557,0.10010757451116876,0.16984258492129245,109400,47600,65.4,0.16454537130299424,0.15172603241461405,0.05357794815626141,0.04426798101496897,0.09266301827288749
