name,percent_of_residents_aged_25_64_with_no_high_school_degree_or_diploma,percent_of_residents_living_in_low_income_lim_at,unemployment_rate_15_years,percent_of_census_families_that_are_lone_parent,average_household_income_after_tax_2020,median_market_income_individual_2020,participation_rate,unaffordable1_percent_households_spending_30_percent_or_more_of_income_on_shelter_costs,unaffordable2_percent_households_spending_30_percent_to_less_than_100_percent_of_income_on_shelter_costs,unsuitable_housing_percent_households_not_suitable,inadequate_housing_percent_households_major_repairs_needed,percent_households_in_core_housing_need
ons2022_beckwith_3401_00000_1_8_percent,0.06889952153110047,0.03130059363194819,0.06724303554274735,0.06529209621993128,114800,50800,68,0.1161764705882353,0.10588235294117647,0.013043478260869565,0.04492753623188406,0.020802377414561663
ons2022_beechwood_cemetery_3006_09999_0_0_percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ons2022_bells_corners_east_3007_00000_1_1_percent,0.07875457875457875,0.058,0.10586011342155009,0.15593220338983052,92600,42400,61.4,0.13411764705882354,0.1223529411764706,0.028169014084507043,0.051643192488262914,0.07819905213270142
ons2022_bells_corners_west_3008_00000_2_6_percent,0.10947368421052632,0.1022864019253911,0.10084033613445378,0.29914529914529914,81000,41600,68,0.19008264462809918,0.18457300275482094,0.052054794520547946,0.052054794520547946,0.1361111111111111
ons2022_billings_bridge_heron_park_3009_00000_6_4_percent,0.08771929824561403,0.23083475298126066,0.12808641975308643,0.2490566037735849,67100,31600,62.5,0.2782462057335582,0.2478920741989882,0.06565656565656566,0.06734006734006734,0.18815331010452963
ons2022_blackburn_hamlet_3010_00000_2_3_percent,0.08024691358024691,0.06840796019900497,0.09310761789600967,0.18867924528301888,102000,45600,62.9,0.1439873417721519,0.13449367088607594,0.03627760252365931,0.05993690851735016,0.10063897763578275
ons2022_blossom_park_timbermill_3011_00000_2_0_percent,0.09901960784313725,0.07857911733046287,0.12008072653884964,0.20392156862745098,107900,40400,65.2,0.1822429906542056,0.17133956386292834,0.06501547987616099,0.05263157894736842,0.10393700787401575
ons2022_bonnechere_valley_3703_00000_4_5_percent,0.12396694214876033,0.14155844155844155,0.08923076923076922,0.12236286919831224,70400,30600,49.1,0.16119402985074627,0.15522388059701492,0.02586206896551724,0.09195402298850575,0.07207207207207207
ons2022_borden_farm_fisher_glen_3012_00000_3_2_percent,0.045112781954887216,0.08841463414634146,0.10566037735849057,0.15434782608695652,91000,42800,54.6,0.22324966974900926,0.18758256274768825,0.025065963060686015,0.036939313984168866,0.11491108071135431
ons2022_braemar_park_belair_heights_copeland_park_3013_00000_4_5_percent,0.07556935817805382,0.07298050139275766,0.11663286004056796,0.1589958158995816,90900,40000,63.3,0.21794871794871795,0.1935897435897436,0.04591836734693878,0.04974489795918367,0.13517060367454067
