name,total_population,number_of_seniors_age_65,percent_of_pop_that_are_seniors_age_65,average_age_of_the_population,median_age_of_the_population,number_of_people_living_alone,percent_of_people_living_alone,number_of_after_tax_income_recipients_age_15,average_after_tax_income_in_2020_among_recipients,number_of_market_income_recipients_age_15,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_who_know_neither_english_nor_french,percent_of_people_who_know_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,number_of_pop_in_labour_force,percent_of_pop_in_labour_force_participation_rate,number_of_pop_unemployed,unemployment_rate,number_of_people_age_25_64_with_no_high_school_diploma,percent_of_people_age_25_64_with_no_high_school_diploma,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,percent_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_commute_for_60_minutes_and_over,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24
ottawa_ons2022_chapel_hill_north_3025_00000_1_4_percent,645,30,0.046511627906976744,31,26.2,0,0,405,42800,335,49800,24.4,36600,48800,17.4,120,0.18604651162790697,20,0.03076923076923077,0,0,0,0,0,0,0,0,1,650,275,0.625,55,0.2,25,0.08333333333333333,270,0.9,245,0.8166666666666667,70,0.3111111111111111,20,0.08888888888888889,0,120,0.18461538461538463,110,0.17054263565891473
ottawa_ons2022_chapel_hill_south_3026_00000_1_3_percent,1400,100,0.07142857142857142,33.6,33.6,35,0.025,1005,51100,900,60800,12.7,47800,59200,6.5,105,0.075,20,0.014285714285714285,0,0,0,0,0,0,0,0,1,1400,805,0.7703349282296651,140,0.17391304347826086,55,0.0728476821192053,695,0.9205298013245033,550,0.7284768211920529,260,0.39097744360902253,70,0.10526315789473684,0.0375,165,0.11785714285714285,190,0.1357142857142857
ottawa_ons2022_chapman_mills_3027_00000_1_4_percent,1540,90,0.05844155844155844,29.3,27.4,10,0.006493506493506494,895,39300,700,43100,24.9,33500,42000,16.6,250,0.16233766233766234,75,0.048701298701298704,0,0,0,0,0,0,0,0,1,1535,635,0.6287128712871287,120,0.1889763779527559,40,0.056338028169014086,665,0.9366197183098591,570,0.8028169014084507,205,0.39805825242718446,60,0.11650485436893204,0.06557377049180328,65,0.04220779220779221,210,0.13636363636363635
ottawa_ons2022_city_view_3028_00000_4_8_percent,205,10,0.04878048780487805,32.6,31.8,15,0.07317073170731707,160,39000,150,40000,18,34000,43000,8.4,85,0.4146341463414634,0,0,0,0,0,0,0,0,0,0,1,205,140,0.8484848484848485,30,0.21428571428571427,0,0,120,0.96,90,0.72,35,0.3333333333333333,0,0,0,35,0.17073170731707318,25,0.12195121951219512
ottawa_ons2022_civic_hospital_3029_00000_2_7_percent,80,0,0,26.8,22,25,0.3125,70,28000,60,25000,24,22000,24000,10,35,0.4375,0,0,0,0,0,0,0,0,0,0,1,80,45,0.6,10,0.2222222222222222,0,0,30,1,25,0.8333333333333334,20,0.5714285714285714,0,0,0,10,0.125,45,0.5625
ottawa_ons2022_clarence_rockland_3604_00000_1_7_percent,205,10,0.04878048780487805,32.4,34.8,0,0,155,37500,130,35000,27,37500,39500,14.4,0,0,0,0,0,0,0,0,0,0,0,0,1,205,105,0.7,15,0.14285714285714285,0,0,110,0.9166666666666666,90,0.75,25,0.2777777777777778,20,0.2222222222222222,0,30,0.14634146341463414,20,0.0975609756097561
ottawa_ons2022_colonnade_business_park_3030_09999_0_0_percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ottawa_ons2022_constance_bay_3031_00000_5_1_percent,0,0,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA
ottawa_ons2022_convent_glen_orleans_woods_3032_00000_1_5_percent,555,50,0.09009009009009009,34.4,30.6,10,0.018018018018018018,405,37600,330,40000,24.6,31800,36400,14.7,105,0.1891891891891892,25,0.04504504504504504,0,0,0,0,0,0,0,0,1,550,235,0.5340909090909091,60,0.2553191489361702,50,0.17857142857142858,235,0.8392857142857143,210,0.75,60,0.34285714285714286,40,0.22857142857142856,0,80,0.14414414414414414,115,0.2072072072072072
ottawa_ons2022_corkery_3033_00000_2_5_percent,25,0,0,33,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,1,25,20,1,0,0,0,0,10,0.6666666666666666,10,0.6666666666666666,0,0,0,0,0,0,0,10,0.4
