name,total_population,number_of_seniors_age_65,percent_of_pop_that_are_seniors_age_65,average_age_of_the_population,median_age_of_the_population,number_of_people_living_alone,percent_of_people_living_alone,number_of_after_tax_income_recipients_age_15,average_after_tax_income_in_2020_among_recipients,number_of_market_income_recipients_age_15,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_who_know_neither_english_nor_french,percent_of_people_who_know_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,number_of_pop_in_labour_force,percent_of_pop_in_labour_force_participation_rate,number_of_pop_unemployed,unemployment_rate,number_of_people_age_25_64_with_no_high_school_diploma,percent_of_people_age_25_64_with_no_high_school_diploma,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,percent_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_commute_for_60_minutes_and_over,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24
province_of_ontario_00000_3_8_percent,584680,27395,0.04685468974481768,32.4,32.4,30165,0.051592324006294044,446820,38560,384885,42840,18.5,32280,40400,9.4,96045,0.16426793914672003,46565,0.07964117430753312,3.677193702591994e-4,215,3.2496130394999014e-4,190,2.565483978552554e-5,15,0,0,0.8578379811351411,501565,347830,0.7121534744686949,48190,0.13854469137222206,36410,0.0912474155754652,362615,0.9087525844245348,312215,0.7824447089781342,111965,0.3736650647443599,37630,0.12558403417434255,0.1290182920229462,12710,0.021738200911601974,62000,0.10604091126770199
ottawa_census_division_3506_00000_3_1_percent,47415,1960,0.04133712960033745,30.9,31.6,2685,0.056627649478013284,33735,40920,28580,46600,18.8,33040,41680,11.9,9755,0.20573658125065908,3155,0.06654012443319625,5.273149124657245e-4,25,5.273149124657245e-4,25,0,0,0,0,0.8489770090698165,40250,26110,0.699906178796408,3775,0.14458062045193412,3055,0.10310496118798515,26570,0.8967262909213635,23720,0.8005399932500844,9130,0.40868397493285585,2350,0.10519247985675918,0.08407250289240262,5710,0.12042602551935042,5720,0.12063692924180112
ottawa_ons2022_admaston_bromley_3701_00000_3_2_percent,0,0,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA
ottawa_ons2022_airport_3001_00000_6_7_percent,0,0,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA
ottawa_ons2022_akwesasne_part_59_3801_09999_0_0_percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ottawa_ons2022_alfred_and_plantagenet_3601_00000_3_2_percent,35,0,0,33,32.4,0,0,30,30000,25,28000,28,28000,30000,3.6,0,0,0,0,0,0,0,0,0,0,0,0,1,35,20,0.6666666666666666,0,0,0,0,20,0.8,20,0.8,0,0,0,0,0,0,0,0,0
ottawa_ons2022_alta_vista_3002_00000_2_8_percent,205,0,0,31.5,33.6,25,0.12195121951219512,160,48000,140,58000,11.2,42000,58000,6,0,0,0,0,0,0,0,0,0,0,0,0,0.7073170731707317,145,130,0.7647058823529411,0,0,10,0.06451612903225806,155,1,135,0.8709677419354839,65,0.5416666666666666,15,0.125,0,45,0.21951219512195122,10,0.04878048780487805
ottawa_ons2022_arnprior_3702_00000_2_5_percent,65,10,0.15384615384615385,37.5,32.4,0,0,50,56000,50,66000,6,44000,52000,7,0,0,0,0,0,0,0,0,0,0,0,0,0.46153846153846156,30,35,0.5833333333333334,0,0,0,0,45,1,30,0.6666666666666666,20,0.5714285714285714,10,0.2857142857142857,0,0,0,0,0
ottawa_ons2022_bayshore_3003_00000_5_4_percent,1920,40,0.020833333333333332,27.9,29,80,0.041666666666666664,1380,37760,1115,41300,22,28700,34900,16.6,345,0.1796875,125,0.06510416666666667,0,0,0,0,0,0,0,0,0.9453125,1815,1025,0.6925675675675675,155,0.15121951219512195,175,0.1483050847457627,1005,0.8516949152542372,890,0.7542372881355932,315,0.3620689655172414,100,0.11494252873563218,0.09090909090909091,140,0.07291666666666667,265,0.13802083333333334
ottawa_ons2022_beacon_hill_south_cardinal_heights_3004_00000_3_4_percent,770,30,0.03896103896103896,27.4,25,20,0.025974025974025976,445,35400,360,29400,38.8,24000,23300,26.8,165,0.21428571428571427,35,0.045454545454545456,0,0,0,0,0,0,0,0,0.9019607843137255,690,310,0.6019417475728155,65,0.20967741935483872,65,0.18055555555555555,295,0.8194444444444444,250,0.6944444444444444,55,0.22916666666666666,30,0.125,0.17142857142857143,190,0.24675324675324675,130,0.16883116883116883
ottawa_ons2022_beaverbrook_3005_00000_2_3_percent,440,25,0.056818181818181816,30.2,31.4,0,0,295,36000,290,38400,13,28400,33200,10,115,0.26136363636363635,25,0.056818181818181816,0,0,0,0,0,0,0,0,0.6292134831460674,280,235,0.7580645161290323,20,0.0851063829787234,15,0.0625,220,0.9166666666666666,200,0.8333333333333334,105,0.4772727272727273,30,0.13636363636363635,0.13043478260869565,20,0.045454545454545456,40,0.09090909090909091
