name,total_population,number_of_seniors_age_65,percent_of_pop_that_are_seniors_age_65,average_age_of_the_population,median_age_of_the_population,number_of_people_living_alone,percent_of_people_living_alone,number_of_after_tax_income_recipients_age_15,average_after_tax_income_in_2020_among_recipients,number_of_market_income_recipients_age_15,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_0_17_in_low_income_based_on_lim_at,percent_of_people_0_17_in_low_income_based_on_lim_at,number_of_people_18_64_in_low_income_based_on_lim_at,percent_of_people_18_64_in_low_income_based_on_lim_at,number_of_people_65_in_low_income_based_on_lim_at,percent_of_people_65_in_low_income_based_on_lim_at,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_with_knowledge_of_only_french_as_an_official_language,number_of_people_who_know_neither_english_nor_french,percent_of_people_who_know_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,number_of_immigrants,percent_of_pop_that_are_immigrants,percent_of_pop_that_are_recent_immigrants_arr_2016_2021,number_of_recent_immigrants_arr_2016_2021,percent_of_pop_that_are_refugees,percent_of_immigrants_that_are_refugees,number_of_refugees,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,number_of_pop_in_labour_force,percent_of_pop_in_labour_force_participation_rate,number_of_pop_unemployed,unemployment_rate,number_of_people_age_25_64_with_no_high_school_diploma,percent_of_people_age_25_64_with_no_high_school_diploma,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,percent_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,number_of_workers_age_15_who_commute_by_car_truck_or_van,percent_of_workers_age_15_who_commute_by_car_truck_or_van,number_of_workers_age_15_who_commute_by_public_transit,percent_of_workers_age_15_who_commute_by_public_transit,number_of_workers_age_15_who_commute_by_walking,percent_of_workers_age_15_who_commute_by_walking,number_of_workers_age_15_who_commute_by_bicycle,percent_of_workers_age_15_who_commute_by_bicycle,number_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_for_60_minutes_and_over,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24
ottawa_ons2022_experimental_farm_3042_09999_0_0_percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ottawa_ons2022_fallingbrook_3043_00000_1_4_percent,490,15,0.030612244897959183,30.9,33.2,0,0,345,36800,305,37600,21.2,32000,35200,12.6,145,0.29292929292929293,335,0.6767676767676768,0,0,0,0,45,0.09090909090909091,35,0.0707070707070707,0,0,0,0,0,0,0,0,495,1,1,495,0.24489795918367346,0.24242424242424243,120,0.8282828282828283,410,275,0.7432432432432432,25,0.09090909090909091,25,0.08064516129032258,290,0.9354838709677419,255,0.8225806451612904,100,0.4,15,0.06,125,0.8333333333333334,20,0.13333333333333333,0,0,0,0,10,0.06666666666666667,0.1,165,0.3333333333333333,40,0.08163265306122448
ottawa_ons2022_findlay_creek_3044_00000_1_5_percent,925,65,0.07027027027027027,31.1,30.6,25,0.02702702702702703,645,35300,555,38000,18.4,29000,37400,11.5,270,0.2918918918918919,590,0.6378378378378379,65,0.07027027027027027,170,0.1837837837837838,10,0.010810810810810811,80,0.08648648648648649,0,0,0,0,0,0,0,0,920,1,1,920,0.23783783783783785,0.2391304347826087,220,0.8641304347826086,795,455,0.6408450704225352,75,0.16483516483516483,30,0.058823529411764705,480,0.9411764705882353,415,0.8137254901960784,205,0.5394736842105263,35,0.09210526315789473,140,0.8484848484848485,15,0.09090909090909091,0,0,0,0,10,0.06060606060606061,0.06060606060606061,35,0.03783783783783784,135,0.14594594594594595
ottawa_ons2022_fisher_heights_3045_00000_2_1_percent,185,15,0.08108108108108109,29.6,30.8,15,0.08108108108108109,100,30800,70,29000,34,22800,23000,30,55,0.2972972972972973,110,0.5945945945945946,0,0,75,0.40540540540540543,0,0,10,0.05405405405405406,0,0,0,0,0,0,0,0,185,1,1,185,0.4594594594594595,0.4594594594594595,85,0.972972972972973,180,75,0.5769230769230769,10,0.13333333333333333,10,0.1,90,0.9,65,0.65,10,0.14285714285714285,10,0.14285714285714285,35,0.5833333333333334,15,0.25,0,0,0,0,0,0,0,10,0.05405405405405406,10,0.05405405405405406
ottawa_ons2022_fitzroy_3046_00000_4_2_percent,25,0,0,42,NA,0,0,20,34000,20,36000,8,19000,28000,NA,0,0,20,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,1,30,0,0,0,0,0,20,0.8,0,0,0,0,25,1,25,1,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ottawa_ons2022_glebe_dows_lake_3047_00000_4_1_percent,300,0,0,32,33.2,35,0.11666666666666667,230,63200,210,93000,3.8,49200,77500,2.1,60,0.2,230,0.7666666666666667,0,0,50,0.16666666666666666,0,0,10,0.03333333333333333,0,0,0,0,0,0,0,0,295,1,1,295,0.03333333333333333,0.03389830508474576,10,0.4406779661016949,130,220,0.8979591836734694,10,0.045454545454545456,0,0,235,1,230,0.9787234042553191,115,0.5476190476190477,15,0.07142857142857142,50,0.5263157894736842,10,0.10526315789473684,25,0.2631578947368421,0,0,0,0,0,55,0.18333333333333332,0,0
ottawa_ons2022_glen_cairn_3048_00000_2_3_percent,675,35,0.05185185185185185,33,32.8,20,0.02962962962962963,495,43400,440,48400,14,35600,44400,9.6,135,0.2,500,0.7407407407407407,35,0.05185185185185185,95,0.14074074074074075,20,0.02962962962962963,45,0.06666666666666667,0,0,0,0,0,0,0,0,670,1,1,670,0.11851851851851852,0.11940298507462686,80,0.8134328358208955,545,395,0.7314814814814815,45,0.11392405063291139,0,0,475,0.9895833333333334,460,0.9583333333333334,165,0.4714285714285714,40,0.11428571428571428,145,0.8055555555555556,25,0.1388888888888889,0,0,0,0,0,0,0.08333333333333333,55,0.08148148148148149,25,0.037037037037037035
ottawa_ons2022_greater_madawaska_3706_00010_11_0_percent,10,0,0,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,10,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,0,0,0
ottawa_ons2022_greely_3049_00000_0_9_percent,120,15,0.125,35.2,31,0,0,100,35500,90,35000,25,35500,41000,6,0,0,95,0.7916666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,1,1,120,0.25,0.25,30,0.5833333333333334,70,80,0.6956521739130435,20,0.25,0,0,75,1,65,0.8666666666666667,10,0.16666666666666666,0,0,50,1,0,0,0,0,0,0,0,0,0,0,0,25,0.20833333333333334
ottawa_ons2022_greenbelt_east_3050_00000_6_9_percent,10,0,0,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,15,1,1,15,0,0,0,1,15,0,0,0,NA,0,0,10,1,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,0,0,0
