name,total_population,percent_of_pop_that_are_seniors_65,number_of_seniors_65,average_age_of_the_population,median_age_of_the_population,number_of_children_living_in_one_parent_families,percent_of_children_living_in_one_parent_families,number_of_pop_living_alone,percent_of_pop_living_alone,average_after_tax_income_in_2020_among_recipients,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_0_17_in_low_income_based_on_lim_at,percent_of_people_0_17_in_low_income_based_on_lim_at,number_of_people_18_64_in_low_income_based_on_lim_at,percent_of_people_18_64_in_low_income_based_on_lim_at,number_of_people_65_in_low_income_based_on_lim_at,percent_of_people_65_in_low_income_based_on_lim_at,number_of_pop_living_alone_i_e_1_person_household,average_household_size,number_of_owner_households,percent_of_owner_households,percent_of_renter_households,percent_of_households_living_in_core_housing_need,number_of_households_living_in_core_housing_need,percent_of_owner_households_in_core_housing_need,median_monthly_shelter_costs_for_owned_dwellings,average_monthly_shelter_costs_for_owned_dwellings,number_of_tenant_households,percent_of_tenant_households_living_in_subsidized_housing,percent_of_renter_households_in_core_housing_need,median_monthly_shelter_costs_for_rented_dwellings,average_monthly_shelter_costs_for_rented_dwellings,average_size_of_census_families,percent_of_census_families_that_are_one_parent_families,number_of_one_parent_families,percent_of_all_census_families_that_are_one_parent_families,average_number_of_children_in_census_families_with_children,average_after_tax_income_of_all_economic_families,average_after_tax_income_of_couple_with_children_economic_families,average_after_tax_income_of_one_parent_economic_families,number_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_pop_with_knowledge_of_neither_english_nor_french,number_of_people_with_knowledge_of_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,percent_of_pop_that_are_immigrants,number_of_immigrants,percent_of_pop_that_are_recent_immigrants_arr_2016_2021,number_of_recent_immigrants_arr_2016_2021,percent_of_pop_that_are_refugees,percent_of_immigrants_that_are_refugees,number_of_refugees,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,percent_in_the_labour_force_participation_rate,number_of_pop_in_labour_force,unemployment_rate,number_of_pop_unemployed,number_of_people_age_25_64_w_no_high_school_diploma_or_equivalent,percent_of_pop_age_25_64_with_no_high_school_diploma_or_equivalent,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_pop_age_25_64_with_postsecondary_degree_diploma_certificate,percent_of_pop_age_25_64_with_postsecondary_degree_diploma_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,number_of_workers_age_15_who_commute_by_car_truck_or_van,percent_of_workers_age_15_who_commute_by_car_truck_or_van,number_of_workers_age_15_who_commute_by_public_transit,percent_of_workers_age_15_who_commute_by_public_transit,number_of_workers_age_15_who_commute_by_walking,percent_of_workers_age_15_who_commute_by_walking,number_of_workers_age_15_who_commute_by_bicycle,percent_of_workers_age_15_who_commute_by_bicycle,number_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_by_other_means,percent_of_workers_who_commute_for_60_minutes_and_over,number_of_youth_age_15_24,percent_of_of_pop_that_are_youth_age_15_24,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home
ons2022_corkery_3033_00000_2_5_percent,3825,0.13725490196078433,525,40.9,44,145,0.11462450592885376,110,0.02875816993464052,57400,69200,9.8,57600,70800,6.5,130,0.033942558746736295,30,0.03571428571428571,70,0.028397565922920892,25,0.04807692307692308,115,3,1240,0.9725490196078431,0.027450980392156862,0.04,50,3.3,1640,1756,35,0,0,NA,1200,3,0.09090909090909091,110,0.09090909090909091,1.8,144000,153000,100000,10,0.00261437908496732,0.00261437908496732,10,0.02741514360313316,105,0.0195822454308094,75,0.007832898172323759,30,0,0,0.10835509138381201,415,0.0039164490861618795,15,0.01437908496732026,0.21568627450980393,55,0.08093994778067885,310,0.7131537242472267,2250,0.057777777777777775,130,65,0.03002309468822171,2100,0.9699769053117783,1640,0.7575057736720554,925,0.4373522458628842,270,0.1276595744680851,1105,0.9285714285714286,25,0.02100840336134454,10,0.008403361344537815,10,0.008403361344537815,35,0.029411764705882353,0.07983193277310924,465,0.12156862745098039,145,0.03790849673202614
ons2022_cornwall_3802_00000_2_5_percent,46340,0.2353258523953388,10905,43.8,45.2,4725,0.3775469436675989,7685,0.16583944756150193,36520,35720,29.8,34040,35800,24,8375,0.18072939145446698,2015,0.2257703081232493,4370,0.16487455197132617,1990,0.18240146654445463,7685,2.2,11475,0.5365910685059622,0.4634089314940379,0.1201329534662868,2530,3.9,900,1011,9915,19,21.5,880,931,2.7,0.2301223241590214,3010,0.2301223241590214,1.7,79500,96000,58500,340,0.0073370738023306,0.003992231333621062,185,0.05632283124730254,2610,0.038951230038843335,1805,0.01294777729823047,600,0.00183426845058265,85,0.08383685800604229,3885,0.013810962451445835,640,0.013487268018990074,0.22202486678507993,625,0.09915839447561502,4595,0.5229818462726922,20310,0.1240768094534712,2520,4200,0.18126888217522658,18970,0.8187311178247734,11670,0.5036685369011653,2065,0.11607644744238337,2095,0.11776278808319281,13865,0.8831210191082802,470,0.029936305732484077,840,0.0535031847133758,165,0.010509554140127388,365,0.0232484076433121,0.0589171974522293,4755,0.10261113508847648,4545,0.09807941303409581
ons2022_craig_henry_manordale_3034_00000_2_2_percent,8670,0.1839677047289504,1595,40.3,39.2,820,0.27749576988155666,625,0.07208765859284891,45840,50280,18.1,43640,50760,13.2,880,0.10155799192152337,345,0.18548387096774194,455,0.08741594620557157,80,0.05,625,2.8,1990,0.6378205128205128,0.3605769230769231,0.12091503267973856,370,4.8,950,1330,1125,8.4,25.5,1620,1580,3.1,0.2012847965738758,470,0.2012847965738758,2,111100,118000,76000,95,0.010963646855164455,0.01788805539526832,155,0.025389497980380843,220,0.012117714945181766,105,0.0103866128101558,90,0.0017311021350259665,15,0.2937103289094057,2545,0.09578765147143682,830,0.10841983852364476,0.45742092457420924,940,0.3421811886901327,2965,0.6078431372549019,4340,0.11405529953917051,495,455,0.10606060606060606,3835,0.8939393939393939,2940,0.6853146853146853,1455,0.3784135240572172,510,0.13263979193758127,1850,0.7756813417190775,355,0.1488469601677149,65,0.027253668763102725,15,0.006289308176100629,100,0.041928721174004195,0.033542976939203356,1250,0.14417531718569782,340,0.03923831506058857
ons2022_crestview_tanglewood_3035_00000_1_4_percent,8275,0.18489425981873112,1530,41.5,39.2,565,0.23492723492723494,755,0.09123867069486405,44400,46520,18.1,41640,47240,12.6,475,0.05740181268882175,120,0.07868852459016394,290,0.05555555555555555,60,0.0392156862745098,755,2.6,2210,0.7015873015873015,0.2968253968253968,0.08576051779935275,265,5.1,1050,1364,935,0,17.4,1600,1592,3,0.16511627906976745,355,0.16511627906976745,1.9,106300,121000,85600,25,0.0030211480362537764,0.012084592145015106,100,0.02418379685610641,200,0.012091898428053204,100,0.005441354292623942,45,0.004232164449818622,35,0.2478839177750907,2050,0.046553808948004836,385,0.056797583081571,0.32867132867132864,470,0.2720677146311971,2250,0.6383737517831669,4475,0.12067039106145251,540,365,0.08267270668176671,4055,0.9184597961494904,3015,0.6828992072480181,1405,0.3575063613231552,520,0.13231552162849872,1975,0.7806324110671937,355,0.14031620553359683,130,0.05138339920948617,25,0.009881422924901186,40,0.015810276679841896,0.043478260869565216,1060,0.12809667673716013,320,0.03867069486404834
ons2022_crystal_bay_lakeview_park_3036_00000_2_0_percent,3965,0.2509457755359395,995,46,48.8,210,0.2028985507246377,355,0.08953341740226986,59100,71100,10.6,58350,70300,8.2,170,0.04287515762925599,50,0.07352941176470588,90,0.039301310043668124,30,0.030303030303030304,355,2.5,1350,0.8359133126934984,0.16408668730650156,0.06289308176100629,100,3.3,1070,1532,265,0,20.4,1780,1820,2.7,0.1111111111111111,135,0.1111111111111111,1.7,135600,157000,112000,10,0.0025220680958385876,0.0025220680958385876,10,0.034047919293820936,135,0.021437578814627996,85,0.01008827238335435,40,0,0,0.201765447667087,800,0.011349306431273645,45,0.017654476670870115,0.12727272727272726,70,0.13366960907944514,530,0.5770925110132159,1965,0.08396946564885496,165,110,0.05405405405405406,1925,0.9459459459459459,1700,0.8353808353808354,890,0.4958217270194986,135,0.07520891364902507,710,0.797752808988764,60,0.06741573033707865,50,0.056179775280898875,20,0.02247191011235955,50,0.056179775280898875,0.016853932584269662,385,0.09709962168978563,185,0.04665825977301387
ons2022_cumberland_3037_00000_1_2_percent,4405,0.2122587968217934,935,45.3,49.6,185,0.1417624521072797,225,0.0510783200908059,56750,67900,11.2,55700,68500,8.1,135,0.03064699205448354,0,0,90,0.03364485981308411,30,0.031914893617021274,220,2.7,1480,0.9164086687306502,0.08359133126934984,0.038461538461538464,60,2.4,1450,1758,140,0,16,1290,1280,2.8,0.10175438596491228,145,0.10175438596491228,1.7,141800,162000,104000,80,0.018140589569160998,0.003401360544217687,15,0.03178206583427923,140,0.0170261066969353,75,0.01362088535754824,60,0,0,0.09875141884222474,435,0,0,0.007945516458569807,0.1206896551724138,35,0.05448354143019296,240,0.6342105263157894,2410,0.06224066390041494,150,130,0.05531914893617021,2215,0.9425531914893617,1735,0.7382978723404255,905,0.401330376940133,290,0.1286031042128603,1240,0.9185185185185185,45,0.03333333333333333,20,0.014814814814814815,0,0,40,0.02962962962962963,0.03333333333333333,510,0.11577752553916004,1420,0.3219954648526077
ons2022_deep_river_3705_00000_2_4_percent,4125,0.2581818181818182,1065,45,46.8,265,0.25118483412322273,610,0.1478787878787879,50000,57750,14.4,49680,58150,11.9,325,0.07888349514563107,75,0.09615384615384616,175,0.07692307692307693,80,0.07476635514018691,610,2.2,1490,0.7967914438502673,0.20053475935828877,0.04087193460490463,75,1.4,800,1011,375,9.3,13.7,930,1044,2.7,0.1469387755102041,180,0.1469387755102041,1.8,107200,121000,62000,0,0,0.0036363636363636364,15,0.06181818181818182,255,0.030303030303030304,125,0.02666666666666667,110,0,0,0.15515151515151515,640,0.013333333333333334,55,0.009696969696969697,0.08333333333333333,40,0.11393939393939394,470,0.5193687230989957,1810,0.06629834254143646,120,160,0.08,1845,0.9225,1515,0.7575,475,0.28106508875739644,140,0.08284023668639054,990,0.8215767634854771,0,0,150,0.12448132780082988,20,0.016597510373443983,40,0.03319502074688797,0.03319502074688797,420,0.10181818181818182,125,0.030303030303030304
ons2022_drummond_north_elmsley_3403_00000_2_7_percent,8125,0.24615384615384617,2000,45.8,50.8,385,0.1774193548387097,655,0.08061538461538462,45680,50360,16.9,45680,52150,13.1,505,0.06215384615384616,80,0.05536332179930796,250,0.05336179295624333,175,0.08728179551122195,655,2.5,3070,0.9345509893455098,0.0669710806697108,0.0304,95,2.2,1070,1244,220,0,15.9,1050,1160,2.7,0.09695817490494296,255,0.09695817490494296,1.8,106000,119000,76500,15,0.0018450184501845018,0,0,0.036307692307692305,295,0.019076923076923078,155,0.014769230769230769,120,0,0,0.05353846153846154,435,0.0036923076923076922,30,0.0012307692307692308,0.05128205128205128,10,0.019076923076923078,155,0.6014388489208633,4180,0.0729665071770335,305,360,0.08571428571428572,3835,0.9130952380952381,2775,0.6607142857142857,800,0.2064516129032258,570,0.14709677419354839,2890,0.9413680781758957,20,0.006514657980456026,45,0.014657980456026058,15,0.004885993485342019,95,0.030944625407166124,0.09446254071661238,755,0.09292307692307693,130,0.015990159901599015
ons2022_dunrobin_3038_00000_2_2_percent,5755,0.17723718505647262,1020,42.5,46.4,150,0.07957559681697612,270,0.04691572545612511,61850,77200,8.6,61550,79900,6.1,120,0.020833333333333332,0,0,80,0.02302158273381295,35,0.03431372549019608,270,2.9,1920,0.9528535980148883,0.04714640198511166,0.03826530612244898,75,3.5,1640,1886,100,0,0,1760,2120,3,0.045584045584045586,80,0.045584045584045586,1.9,154200,162000,132000,20,0.003472222222222222,0.003472222222222222,20,0.0234375,135,0.009548611111111112,55,0.009548611111111112,55,0,0,0.1640625,945,0.021701388888888888,125,0.013032145960034752,0.10135135135135136,75,0.12586805555555555,725,0.647739221871714,3080,0.07305194805194805,225,110,0.03642384105960265,2910,0.9635761589403974,2360,0.7814569536423841,1405,0.4921190893169877,315,0.11033274956217162,1370,0.9513888888888888,25,0.017361111111111112,15,0.010416666666666666,0,0,25,0.017361111111111112,0.04861111111111111,715,0.12423979148566464,205,0.035590277777777776
ons2022_east_hawkesbury_3605_00000_2_2_percent,3360,0.22470238095238096,755,45.4,50,130,0.15028901734104047,365,0.10863095238095238,40880,43520,20.5,37840,42200,15.7,445,0.13224368499257058,50,0.08620689655172414,195,0.0962962962962963,195,0.2582781456953642,365,2.4,1225,0.8626760563380281,0.13732394366197184,0.03745318352059925,50,3.5,1020,1158,190,0,0,750,890,2.7,0.09223300970873786,95,0.09223300970873786,1.8,96200,113000,73000,500,0.1485884101040119,0,0,0.03417533432392273,115,0.01634472511144131,55,0.017830609212481426,60,0,0,0.06537890044576523,220,0.0029717682020802376,10,0,0,0,0.04011887072808321,135,0.6212914485165794,1780,0.07303370786516854,130,140,0.07650273224043716,1690,0.9234972677595629,1110,0.6065573770491803,375,0.22796352583586627,250,0.1519756838905775,1210,0.9565217391304348,0,0,25,0.019762845849802372,0,0,20,0.015810276679841896,0.12648221343873517,280,0.08333333333333333,1855,0.5512630014858841
ons2022_edwards_carlsbad_springs_3039_00000_5_6_percent,2950,0.21864406779661016,645,46.2,50.8,190,0.2375,250,0.0847457627118644,46560,51450,16.4,46320,53800,11.8,145,0.049069373942470386,0,0,100,0.05449591280653951,35,0.05384615384615385,255,2.4,1045,0.8600823045267489,0.13991769547325103,0.07264957264957266,85,4.5,1130,1376,170,0,27.3,1250,1320,2.7,0.14594594594594595,135,0.14594594594594595,1.6,110000,131000,84000,40,0.013559322033898305,0.00847457627118644,25,0.04230118443316413,125,0.01353637901861252,40,0.02707275803722504,80,0,0,0.08967851099830795,265,0,0,0.01864406779661017,0.3793103448275862,55,0.05414551607445008,160,0.629126213592233,1620,0.07407407407407407,120,220,0.13253012048192772,1440,0.8674698795180723,965,0.5813253012048193,450,0.3,330,0.22,975,0.9375,15,0.014423076923076924,35,0.03365384615384615,0,0,20,0.019230769230769232,0.014423076923076924,265,0.08983050847457627,455,0.15423728813559323
ons2022_elmvale_canterbury_3040_00000_2_0_percent,8175,0.2,1635,43.2,43.6,590,0.2681818181818182,1085,0.1327217125382263,48240,52000,16.6,45160,51300,12.3,680,0.08318042813455657,135,0.09507042253521127,385,0.0751953125,165,0.10060975609756098,1085,2.3,2030,0.564673157162726,0.43532684283727396,0.14124293785310735,500,4,1190,1376,1565,6.1,27.5,1300,1358,2.8,0.17697228144989338,415,0.17697228144989338,1.7,108700,112000,82400,115,0.014067278287461774,0.01345565749235474,110,0.027522935779816515,225,0.01712538226299694,140,0.009174311926605505,75,0,0,0.23486238532110093,1920,0.04342507645259939,355,0.05688073394495413,0.31208053691275167,465,0.27584097859327217,2255,0.6272401433691757,4375,0.11771428571428572,515,325,0.07230255839822025,4170,0.9276974416017798,3340,0.743047830923248,1700,0.4398447606727037,295,0.07632600258732213,1545,0.7152777777777778,245,0.11342592592592593,230,0.10648148148148148,45,0.020833333333333332,90,0.041666666666666664,0.032407407407407406,845,0.10336391437308869,790,0.09663608562691131
ons2022_emerald_woods_sawmill_creek_3041_00000_3_6_percent,5610,0.17379679144385027,975,39.4,37.2,530,0.2630272952853598,595,0.10606060606060606,37280,38200,28.2,33880,38880,20.3,1190,0.21212121212121213,470,0.376,570,0.16863905325443787,150,0.15306122448979592,600,2.7,890,0.4258373205741627,0.5741626794258373,0.2818627450980392,575,12.5,1000,1372,1200,9.2,40.3,1360,1352,3.2,0.2097902097902098,300,0.2097902097902098,2.2,89700,90000,68000,40,0.0071301247771836,0.045454545454545456,255,0.01693404634581105,95,0.013368983957219251,75,0.00267379679144385,15,0,0,0.44028520499108736,2470,0.1443850267379679,810,0.18538324420677363,0.4759725400457666,1040,0.5704099821746881,3200,0.5406593406593406,2460,0.13414634146341464,330,440,0.15798922800718132,2340,0.8402154398563735,1700,0.6104129263913824,650,0.3051643192488263,315,0.14788732394366197,1005,0.6860068259385665,220,0.15017064846416384,130,0.08873720136518772,15,0.010238907849829351,95,0.06484641638225255,0.05460750853242321,795,0.14171122994652408,350,0.062388591800356503
ons2022_experimental_farm_3042_09999_0_0_percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ons2022_fallingbrook_3043_00000_1_4_percent,18030,0.15668330560177482,2825,41.1,42.8,1285,0.20843471208434713,1005,0.05574043261231281,52900,60950,11.9,51160,60850,8.3,550,0.03050471436494731,135,0.036,250,0.02182453077258839,160,0.05663716814159292,1010,2.8,5970,0.9234338747099768,0.0765661252900232,0.04534792806880375,290,3,1600,1588,495,6.1,22.9,1740,1720,3,0.14390467461044912,785,0.14390467461044912,1.8,128600,141000,89400,470,0.026067665002773157,0.008042151968940654,145,0.028286189683860232,510,0.012756516916250694,230,0.013311148086522463,240,0.0016638935108153079,30,0.19550748752079866,3525,0.02745424292845258,495,0.027731558513588463,0.17985611510791366,500,0.24708818635607321,4455,0.6608927381745503,9920,0.07862903225806452,780,415,0.04196157735085945,9475,0.9580384226491405,7295,0.7376137512639029,4025,0.4403719912472648,780,0.08533916849015317,4235,0.831207065750736,550,0.10794896957801767,135,0.02649656526005888,25,0.004906771344455349,145,0.02845927379784102,0.06575073601570167,2300,0.12756516916250693,4570,0.25346644481419855
ons2022_findlay_creek_3044_00000_1_5_percent,14240,0.0684691011235955,975,33.4,32.8,970,0.16398985629754861,615,0.04318820224719101,51250,59000,12.1,48320,58500,7.6,870,0.061095505617977525,300,0.07334963325183375,480,0.05231607629427793,90,0.09278350515463918,620,3.2,3840,0.8747152619589977,0.1252847380410023,0.08796296296296297,380,7,2080,2072,555,4.5,21.9,2180,2010,3.4,0.1345646437994723,510,0.1345646437994723,2.1,127200,136000,90000,130,0.009129213483146067,0.023525280898876403,335,0.014396067415730338,205,0.009480337078651686,135,0.0035112359550561797,50,0.001053370786516854,15,0.3925561797752809,5590,0.06460674157303371,920,0.09410112359550561,0.2530689329556185,1340,0.5783005617977528,8235,0.7368177613320999,7965,0.1098556183301946,875,515,0.06598334401024984,7285,0.9333760409993593,6070,0.777706598334401,3020,0.42595204513399154,600,0.0846262341325811,3555,0.879950495049505,215,0.053217821782178217,95,0.023514851485148515,10,0.0024752475247524753,160,0.039603960396039604,0.03712871287128713,2035,0.14290730337078653,1070,0.07514044943820225
ons2022_fisher_heights_3045_00000_2_1_percent,4380,0.19292237442922375,845,41.4,38.8,305,0.244,425,0.09703196347031963,49920,54750,15,47240,54250,11.3,460,0.1050228310502283,165,0.19411764705882353,250,0.09293680297397769,55,0.06547619047619048,420,2.6,1085,0.6326530612244898,0.37026239067055394,0.11077844311377245,185,5.1,990,1432,635,4.7,21.7,1570,1690,2.9,0.14644351464435146,175,0.14644351464435146,1.8,114200,135000,72500,0,0,0.01598173515981735,70,0.017123287671232876,75,0.010273972602739725,45,0.005707762557077625,25,0,0,0.2522831050228311,1105,0.04223744292237443,185,0.05707762557077625,0.3184713375796178,250,0.3458904109589041,1515,0.627906976744186,2295,0.0784313725490196,180,160,0.07017543859649122,2125,0.9320175438596491,1705,0.7478070175438597,915,0.4346793349168646,170,0.08076009501187649,970,0.8185654008438819,110,0.09282700421940929,65,0.05485232067510549,15,0.012658227848101266,20,0.016877637130801686,0.03375527426160337,530,0.12100456621004566,115,0.026255707762557076
ons2022_fitzroy_3046_00000_4_2_percent,3985,0.21706398996235884,865,44.8,49.6,155,0.14485981308411214,290,0.07277289836888332,55600,66000,12.1,54450,69000,8.6,205,0.05144291091593475,0,0,105,0.043209876543209874,90,0.10404624277456648,295,2.5,1490,0.93125,0.06875,0.08223684210526316,125,6,1380,1428,105,0,33.3,1280,1200,2.7,0.10384615384615385,135,0.10384615384615385,1.7,131200,143000,80000,0,0,0.0037688442211055275,15,0.03136762860727729,125,0.015056461731493099,60,0.01631116687578419,65,0,0,0.07026348808030113,280,0.0075282308657465494,30,0,0,0,0.028858218318695106,115,0.6374269005847953,2180,0.07568807339449542,165,150,0.06928406466512702,2015,0.930715935334873,1390,0.6420323325635104,660,0.3283582089552239,210,0.1044776119402985,1260,0.9368029739776952,0,0,55,0.040892193308550186,0,0,15,0.011152416356877323,0.08550185873605948,395,0.09912170639899624,45,0.011306532663316583
ons2022_glebe_dows_lake_3047_00000_4_1_percent,13255,0.1980384760467748,2625,42.4,41.2,540,0.1806020066889632,2480,0.18709920784609582,66500,87600,7.4,65800,86800,4.9,1010,0.07622641509433963,65,0.03282828282828283,715,0.08270676691729323,225,0.08555133079847908,2485,2.1,3130,0.4867807153965785,0.5132192846034215,0.09493161705551086,590,3.2,1660,2184,3295,3.3,15.8,1430,1584,2.8,0.11255411255411256,390,0.11255411255411256,1.8,159400,198000,95200,60,0.004526593738211996,0.0067898906073179935,90,0.016981132075471698,225,0.010943396226415094,145,0.0037735849056603774,50,0.0011320754716981133,15,0.17358490566037735,2300,0.022641509433962263,300,0.00980761976612599,0.08996539792387544,130,0.14226415094339623,1885,0.6893453145057766,8055,0.09807572936064556,790,160,0.02239328201539538,6990,0.9783065080475857,6430,0.8999300209937019,4005,0.5508940852819807,320,0.044016506189821183,1795,0.5540123456790124,285,0.08796296296296297,770,0.23765432098765432,235,0.07253086419753087,155,0.047839506172839504,0.032407407407407406,1905,0.14371935118823084,840,0.06337231233496794
ons2022_glen_cairn_3048_00000_2_3_percent,12270,0.14710676446617768,1805,38.9,38,920,0.23028785982478098,955,0.0778321108394458,48120,52600,14.8,45880,51850,10.9,720,0.058703628210354665,230,0.08084358523725835,375,0.04918032786885246,115,0.06388888888888888,960,2.6,3815,0.816916488222698,0.1841541755888651,0.06616052060737528,305,4.2,1550,1454,855,8.2,18.1,1640,1520,2.9,0.1717032967032967,625,0.1717032967032967,1.7,107600,116000,81600,80,0.006519967400162999,0.011409942950285249,140,0.03220546269873624,395,0.022013860578883,270,0.009376273950264982,115,0,0,0.232776192417448,2855,0.055034651447207504,675,0.038712306438467806,0.1919191919191919,475,0.2727272727272727,3345,0.6711065573770492,6550,0.09618320610687023,630,365,0.05286024619840695,6545,0.9478638667632151,5170,0.7487328023171614,2260,0.38175675675675674,555,0.09375,3170,0.8684931506849315,190,0.052054794520547946,175,0.04794520547945205,15,0.00410958904109589,105,0.028767123287671233,0.04794520547945205,1045,0.08516707416462918,410,0.03341483292583537
ons2022_greater_madawaska_3706_00010_11_0_percent,2815,0.325044404973357,915,51.5,58.4,125,0.2403846153846154,405,0.1438721136767318,43320,47240,20.2,42880,50160,15.7,345,0.12255772646536411,45,0.13432835820895522,165,0.10543130990415335,130,0.14207650273224043,405,2.1,1260,0.9402985074626866,0.05970149253731343,0.038461538461538464,50,3.3,820,1084,80,0,0,1000,920,2.5,0.08152173913043478,75,0.08152173913043478,1.7,97200,120000,70000,0,0,0,0,0.055062166962699825,155,0.015985790408525755,45,0.04085257548845471,115,0,0,0.05328596802841918,150,0.003552397868561279,10,0.007104795737122558,0.3076923076923077,20,0.010657193605683837,30,0.48214285714285715,1215,0.102880658436214,125,120,0.08450704225352113,1300,0.9154929577464789,890,0.6267605633802817,235,0.21559633027522937,260,0.23853211009174313,790,0.9294117647058824,0,0,40,0.047058823529411764,0,0,15,0.01764705882352941,0.23529411764705882,185,0.06571936056838366,40,0.014209591474245116
ons2022_greely_3049_00000_0_9_percent,10540,0.1527514231499051,1610,41,44,445,0.12395543175487465,420,0.03984819734345351,60600,73900,9.5,58750,73200,6.8,355,0.033681214421252374,90,0.0375,220,0.033690658499234305,50,0.03115264797507788,420,2.9,3350,0.9344490934449093,0.06555090655509066,0.03409090909090909,120,2.4,1780,1920,235,0,15.9,1620,1540,3,0.08978328173374613,290,0.08978328173374613,1.9,151000,166000,89000,35,0.003320683111954459,0.008064516129032258,85,0.029411764705882353,310,0.016129032258064516,170,0.010436432637571158,110,0,0,0.15370018975332067,1620,0.011385199240986717,120,0.023719165085388995,0.2074688796680498,250,0.15180265654648956,1600,0.6834112149532711,5850,0.08034188034188035,470,360,0.0627177700348432,5375,0.936411149825784,4325,0.7534843205574913,2260,0.4204651162790698,520,0.09674418604651162,2895,0.9353796445880452,20,0.006462035541195477,40,0.012924071082390954,25,0.008077544426494346,120,0.03877221324717286,0.03231017770597738,1215,0.11527514231499052,690,0.06546489563567362
ons2022_greenbelt_east_3050_00000_6_9_percent,265,0.1320754716981132,35,43.2,47.6,0,0,20,0.07547169811320754,38400,37200,24.4,36000,38000,14.2,55,0.2037037037037037,0,0,40,0.21052631578947367,0,0,20,2.4,30,0.2727272727272727,0.7272727272727273,0,0,0,1640,1600,75,0,0,1700,1650,2.8,0,0,0,1.8,92000,110000,NA,0,0,0,0,0.07407407407407407,20,0,0,0,0,0,0,0.12962962962962962,35,0.05555555555555555,15,0,0,0,0.18518518518518517,50,0.5714285714285714,140,0.14285714285714285,20,40,0.24242424242424243,130,0.7878787878787878,85,0.5151515151515151,40,0.3333333333333333,45,0.375,70,0.875,0,0,0,0,0,0,10,0.125,0,30,0.11320754716981132,10,0.037037037037037035
ons2022_greenbelt_west_3051_00919_12_5_percent,150,0.16666666666666666,25,44,46.4,0,0,20,0.13333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,2.6,25,0.45454545454545453,0.5454545454545454,NA,NA,0,NA,2200,25,0,0,NA,1700,3,0,0,0,1.4,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.2,30,0,0,0,0,0,0,0,0.64,80,0.1875,15,30,0.3157894736842105,65,0.6842105263157895,30,0.3157894736842105,35,0.5384615384615384,15,0.23076923076923078,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ons2022_greenboro_east_3052_00000_2_0_percent,6180,0.12055016181229773,745,39.1,38,600,0.2684563758389262,550,0.0889967637540453,45000,50320,16,42920,50600,10,650,0.10526315789473684,220,0.17813765182186234,340,0.08085612366230678,80,0.10810810810810811,555,2.8,1730,0.7706013363028953,0.22939866369710468,0.1103448275862069,240,6.5,1290,1426,520,24,27.1,1370,1315,3.1,0.21194029850746268,355,0.21194029850746268,1.9,114600,127000,74000,75,0.012145748987854251,0.027530364372469637,170,0.012955465587044534,80,0.008906882591093117,55,0.0024291497975708503,15,0,0,0.3951417004048583,2440,0.04939271255060729,305,0.09870550161812297,0.2863849765258216,610,0.5668016194331984,3500,0.6824324324324325,3535,0.11315417256011315,400,295,0.08464849354375897,3195,0.9167862266857962,2520,0.7230989956958394,1185,0.37859424920127793,310,0.09904153354632587,1635,0.8406169665809768,140,0.07197943444730077,50,0.02570694087403599,30,0.015424164524421594,90,0.04627249357326478,0.028277634961439587,950,0.15372168284789645,495,0.08016194331983806
