name,total_population,number_of_seniors_age_65,percent_of_pop_that_are_seniors_age_65,average_age_of_the_population,median_age_of_the_population,number_of_people_living_alone,percent_of_people_living_alone,number_of_after_tax_income_recipients_age_15,average_after_tax_income_in_2020_among_recipients,number_of_market_income_recipients_age_15,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_who_know_neither_english_nor_french,percent_of_people_who_know_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,number_of_pop_in_labour_force,percent_of_pop_in_labour_force_participation_rate,number_of_pop_unemployed,unemployment_rate,number_of_people_age_25_64_with_no_high_school_diploma,percent_of_people_age_25_64_with_no_high_school_diploma,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,percent_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_commute_for_60_minutes_and_over,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24
ottawa_ons2022_beaverbrook_3005_00000_2_3_percent,1800,505,0.28055555555555556,49,48.4,145,0.08055555555555556,1565,49160,1430,54800,15.6,45200,53300,13,195,0.10833333333333334,55,0.030555555555555555,0.005555555555555556,10,0.005555555555555556,10,0,0,0,0,0.5972222222222222,1075,910,0.56,90,0.0989010989010989,50,0.05263157894736842,895,0.9421052631578948,785,0.8263157894736842,360,0.43902439024390244,95,0.11585365853658537,0.07526881720430108,45,0.025,170,0.09444444444444444
ottawa_ons2022_beckwith_3401_00000_1_8_percent,685,255,0.3722627737226277,56.9,58,20,0.029197080291970802,660,53700,590,63000,14.8,47200,55800,14,30,0.043795620437956206,15,0.021897810218978103,0,0,0,0,0,0,0,0,0.23357664233576642,160,400,0.5925925925925926,30,0.075,15,0.03896103896103896,375,0.974025974025974,295,0.7662337662337663,140,0.3835616438356164,50,0.136986301369863,0,20,0.029197080291970802,30,0.043795620437956206
ottawa_ons2022_beechwood_cemetery_3006_09999_0_0_percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ottawa_ons2022_bells_corners_east_3007_00000_1_1_percent,890,260,0.29213483146067415,51.3,51.6,80,0.0898876404494382,845,42400,735,44800,21.7,39200,43100,15.6,45,0.05027932960893855,25,0.027932960893854747,0,0,0,0,0,0,0,0,0.6067415730337079,540,535,0.6257309941520468,80,0.14953271028037382,45,0.0891089108910891,460,0.9108910891089109,400,0.7920792079207921,160,0.3516483516483517,45,0.0989010989010989,0.05084745762711865,0,0,85,0.09550561797752809
ottawa_ons2022_bells_corners_west_3008_00000_2_6_percent,995,235,0.23618090452261306,49.1,51.6,120,0.12060301507537688,910,43000,775,46500,19.7,36800,43400,14.8,130,0.1306532663316583,20,0.020100502512562814,0,0,0,0,0,0,0,0,0.715,715,620,0.6666666666666666,55,0.08870967741935484,105,0.16279069767441862,540,0.8372093023255814,440,0.6821705426356589,195,0.34513274336283184,70,0.12389380530973451,0.0945945945945946,10,0.010050251256281407,50,0.05025125628140704
ottawa_ons2022_billings_bridge_heron_park_3009_00000_6_4_percent,1630,525,0.3220858895705521,51.6,52,445,0.27300613496932513,1535,36400,1170,37300,32.7,32320,35500,24.9,530,0.32515337423312884,110,0.06748466257668712,0,0,0,0,0,0,0,0,0.6993865030674846,1140,870,0.5594855305466238,135,0.15517241379310345,80,0.08376963350785341,875,0.9162303664921466,730,0.7643979057591623,320,0.43537414965986393,85,0.11564625850340136,0.04819277108433735,140,0.08588957055214724,70,0.04294478527607362
ottawa_ons2022_blackburn_hamlet_3010_00000_2_3_percent,1340,435,0.3246268656716418,52.5,54.4,100,0.07462686567164178,1225,44700,1100,45300,22.2,41900,46500,15.6,120,0.08955223880597014,25,0.018656716417910446,0,0,0,0,0,0,0,0,0.6380597014925373,855,765,0.6,90,0.11764705882352941,75,0.10273972602739725,650,0.8904109589041096,525,0.7191780821917808,240,0.35555555555555557,90,0.13333333333333333,0.05747126436781609,165,0.12313432835820895,100,0.07462686567164178
ottawa_ons2022_blossom_park_timbermill_3011_00000_2_0_percent,2790,520,0.1863799283154122,47.6,49.2,155,0.05555555555555555,2480,47280,2150,50400,21.8,42000,48120,15.2,290,0.1039426523297491,125,0.044802867383512544,0,0,0,0,0,0,0,0,0.7795698924731183,2175,1650,0.6226415094339622,170,0.10303030303030303,235,0.12912087912087913,1585,0.8708791208791209,1245,0.6840659340659341,475,0.32094594594594594,210,0.14189189189189189,0.08080808080808081,230,0.08243727598566308,300,0.10752688172043011
ottawa_ons2022_bonnechere_valley_3703_00000_4_5_percent,185,110,0.5945945945945946,67.2,69,35,0.1891891891891892,185,37200,150,35500,33,42000,50000,26.8,55,0.3055555555555556,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,30,45,0.24324324324324326,0,0,0,0,65,1,50,0.7692307692307693,15,0.375,0,0,0,0,0,0,0
ottawa_ons2022_borden_farm_fisher_glen_3012_00000_3_2_percent,2070,975,0.47101449275362317,59.2,63.2,305,0.1473429951690821,1950,47400,1750,50120,20.2,43640,48600,17.3,295,0.14251207729468598,115,0.05555555555555555,0,0,0,0,0,0,0,0,0.5579710144927537,1155,875,0.43640897755610975,75,0.08571428571428572,85,0.08994708994708994,860,0.91005291005291,730,0.7724867724867724,355,0.44654088050314467,75,0.09433962264150944,0.033707865168539325,50,0.024154589371980676,80,0.03864734299516908
