name,total_population,number_of_seniors_age_65,percent_of_pop_that_are_seniors_age_65,average_age_of_the_population,median_age_of_the_population,number_of_people_living_alone,percent_of_people_living_alone,number_of_after_tax_income_recipients_age_15,average_after_tax_income_in_2020_among_recipients,number_of_market_income_recipients_age_15,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_who_know_neither_english_nor_french,percent_of_people_who_know_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,number_of_pop_in_labour_force,percent_of_pop_in_labour_force_participation_rate,number_of_pop_unemployed,unemployment_rate,number_of_people_age_25_64_with_no_high_school_diploma,percent_of_people_age_25_64_with_no_high_school_diploma,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,percent_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_commute_for_60_minutes_and_over,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24,ONS_ID
ottawa_stittsville_3106,550,30,0.05454545454545454,32.4,28.8,10,0.01818181818181818,385,50400,365,55400,11.9,48200,54200,8.8,0,0,0,0,1,550,0.5181818181818182,285,0.4818181818181818,265,0,0,0,0,320,0.8,25,0.078125,30,0.10344827586206896,260,0.896551724137931,245,0.8448275862068966,90,0.3050847457627119,60,0.2033898305084746,0.14285714285714285,0,0,85,0.15454545454545454,3106
ottawa_stittsville_east_3107,200,0,0,22.8,15.9,15,0.075,95,58000,90,61000,15.2,54000,60000,9.5,0,0,0,0,1,205,0.5121951219512195,105,0.4390243902439024,90,0,0,0,0,85,0.7727272727272727,0,0,0,0,75,1,45,0.6,15,0.17647058823529413,0,0,0,15,0.075,25,0.125,3107
ottawa_stittsville_north_3108,280,15,0.05357142857142857,30.5,25.4,10,0.03571428571428571,185,48800,175,53200,12.4,51600,58800,5.6,20,0.07142857142857142,0,0,1,280,0.5178571428571429,145,0.375,105,0,0,0,0,160,0.8421052631578947,20,0.125,0,0,130,1,110,0.8461538461538461,60,0.42857142857142855,25,0.17857142857142858,0,0,0,40,0.14285714285714285,3108
ottawa_stonebridge_half_moon_bay_3109,420,25,0.05952380952380952,31.2,26.2,15,0.03571428571428571,285,53200,275,57600,13.8,48800,58400,6.3,0,0,0,0,1,415,0.3373493975903614,140,0.5662650602409639,235,0,0,0,0,225,0.7258064516129032,35,0.15555555555555556,15,0.07317073170731707,190,0.926829268292683,150,0.7317073170731707,70,0.3684210526315789,15,0.07894736842105263,0,60,0.14457831325301204,80,0.1904761904761905,3109
ottawa_trend_arlington_3110,115,15,0.13043478260869565,39.2,38.8,15,0.13043478260869565,85,57000,85,50000,26,55000,54000,16,0,0,0,0,1,110,0.7727272727272727,85,0.2272727272727273,25,0,0,0,0,55,0.6111111111111112,0,0,10,0.14285714285714285,60,0.8571428571428571,45,0.6428571428571429,15,0.2727272727272727,0,0,0,0,0,0,0,3110
ottawa_vanier_north_3111,695,45,0.06474820143884892,36.8,36,120,0.17266187050359713,545,33600,330,38400,37.2,29300,36600,27.2,190,0.2733812949640288,0,0,1,690,0.5,345,0.3115942028985507,215,0.13043478260869565,90,0,0,275,0.4824561403508772,65,0.23636363636363636,140,0.3146067415730337,310,0.6966292134831461,245,0.550561797752809,65,0.3170731707317073,35,0.17073170731707318,0,95,0.1366906474820144,80,0.11510791366906475,3111
ottawa_vanier_south_3112,390,65,0.16666666666666666,42.2,41.2,90,0.2307692307692308,320,34800,225,34000,36,31000,34400,27.6,95,0.2435897435897436,0,0,1,390,0.6153846153846154,240,0.2692307692307692,105,0.10256410256410256,40,0,0,155,0.4492753623188406,55,0.3548387096774194,60,0.26666666666666666,165,0.7333333333333333,115,0.5111111111111111,20,0.1904761904761905,10,0.09523809523809525,0.125,80,0.20512820512820512,55,0.14102564102564102,3112
ottawa_vars_3113,175,25,0.14285714285714285,38.2,40.8,0,0,135,39500,130,38000,21,37500,37000,19,0,0,0,0,1,180,0.5,90,0.4444444444444444,80,0,0,0,0,100,0.7142857142857143,10,0.1,0,0,80,0.9411764705882352,60,0.7058823529411765,40,0.4444444444444444,10,0.1111111111111111,0,75,0.42857142857142855,30,0.17142857142857143,3113
ottawa_waterridge_village_3114,55,10,0.18181818181818185,52,55.2,20,0.3636363636363637,55,33000,35,38000,28,35000,40000,22,15,0.2727272727272727,0,0,1,55,0.6363636363636364,35,0.3636363636363637,20,0,0,0,0,35,0.6363636363636364,0,0,0,0,35,0.7777777777777778,35,0.7777777777777778,0,0,0,0,0,25,0.4545454545454546,0,0,3114
ottawa_west_centretown_3115,300,0,0,34.4,33.6,85,0.2833333333333333,245,34800,175,40000,28.4,30000,38400,15.8,105,0.3442622950819672,0,0,1,305,0.5081967213114754,155,0.2459016393442623,75,0.14754098360655735,45,0,0,150,0.5660377358490566,25,0.16666666666666666,30,0.15789473684210523,165,0.868421052631579,130,0.6842105263157895,55,0.44,10,0.08,0.14285714285714285,40,0.13114754098360656,70,0.23333333333333336,3115
ottawa_westboro_3116,265,50,0.18867924528301888,44.6,46,80,0.3018867924528302,225,42800,185,68000,15.8,50800,64500,10.8,40,0.1509433962264151,0,0,1,260,0.4423076923076923,115,0.4807692307692308,125,0,0,0,0,150,0.6382978723404256,25,0.16666666666666666,0,0,160,0.9696969696969696,135,0.8181818181818182,55,0.4230769230769231,10,0.07692307692307693,0,10,0.03773584905660377,15,0.05660377358490566,3116
