name,total_population,number_of_seniors_age_65,percent_of_pop_that_are_seniors_age_65,average_age_of_the_population,median_age_of_the_population,number_of_people_living_alone,percent_of_people_living_alone,number_of_after_tax_income_recipients_age_15,average_after_tax_income_in_2020_among_recipients,number_of_market_income_recipients_age_15,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_0_17_in_low_income_based_on_lim_at,percent_of_people_0_17_in_low_income_based_on_lim_at,number_of_people_18_64_in_low_income_based_on_lim_at,percent_of_people_18_64_in_low_income_based_on_lim_at,number_of_people_65_in_low_income_based_on_lim_at,percent_of_people_65_in_low_income_based_on_lim_at,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_with_knowledge_of_only_french_as_an_official_language,number_of_people_who_know_neither_english_nor_french,percent_of_people_who_know_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,number_of_immigrants,percent_of_pop_that_are_immigrants,percent_of_pop_that_are_recent_immigrants_arr_2016_2021,number_of_recent_immigrants_arr_2016_2021,percent_of_pop_that_are_refugees,percent_of_immigrants_that_are_refugees,number_of_refugees,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,number_of_pop_in_labour_force,percent_of_pop_in_labour_force_participation_rate,number_of_pop_unemployed,unemployment_rate,number_of_people_age_25_64_with_no_high_school_diploma,percent_of_people_age_25_64_with_no_high_school_diploma,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,percent_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,number_of_workers_age_15_who_commute_by_car_truck_or_van,percent_of_workers_age_15_who_commute_by_car_truck_or_van,number_of_workers_age_15_who_commute_by_public_transit,percent_of_workers_age_15_who_commute_by_public_transit,number_of_workers_age_15_who_commute_by_walking,percent_of_workers_age_15_who_commute_by_walking,number_of_workers_age_15_who_commute_by_bicycle,percent_of_workers_age_15_who_commute_by_bicycle,number_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_for_60_minutes_and_over,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24
ottawa_oeycfc_19_copeland_00000_3_4_percent,3235,0,0,20.3,20.6,155,0.04791344667697063,2585,19320,2370,18200,22.8,17060,18600,6.1,865,0.2678018575851393,2370,0.7337461300309598,0,0,270,0.08359133126934984,0,0,10,0.0030911901081916537,0.02936630602782071,95,0.017001545595054096,55,0.013910355486862442,45,0,0,390,0.1205564142194745,0.04173106646058733,135,0.03709428129829984,0.3076923076923077,120,0.357032457496136,1155,1900,0.5873261205564142,485,0.25526315789473686,0,NA,0,NA,0,NA,285,0.20141342756183744,160,0.11307420494699646,700,0.625,265,0.23660714285714285,90,0.08035714285714286,50,0.044642857142857144,10,0.008928571428571428,0.07589285714285714,160,0.04945904173106646,3240,1.001545595054096
ottawa_oeycfc_21_cyrville_00000_2_6_percent,2140,0,0,20.5,20.8,70,0.03271028037383177,1645,21900,1490,18000,29.9,16640,16980,9.1,520,0.24299065420560748,1615,0.7546728971962616,0,0,285,0.13317757009345793,40,0.018648018648018648,10,0.004662004662004662,0.039627039627039624,85,0.030303030303030304,65,0.004662004662004662,10,0.004662004662004662,10,575,0.2680652680652681,0.10955710955710955,235,0.1658878504672897,0.6173913043478261,355,0.6293706293706294,1350,1275,0.5957943925233645,270,0.21176470588235294,0,NA,0,NA,0,NA,275,0.2736318407960199,110,0.10945273631840796,385,0.5310344827586206,260,0.3586206896551724,55,0.07586206896551724,10,0.013793103448275862,20,0.027586206896551724,0.04827586206896552,380,0.17715617715617715,2140,1
ottawa_oeycfc_22_dalhousie_00000_5_8_percent,1750,0,0,21.5,22,275,0.15714285714285714,1485,23860,1365,21100,24.6,18800,19840,6.6,210,0.11965811965811966,1540,0.8774928774928775,0,0,590,0.33618233618233617,0,0,0,0,0.04,70,0.02857142857142857,50,0,0,0.008571428571428572,15,210,0.12,0.022857142857142857,40,0.03428571428571429,0.2857142857142857,60,0.45714285714285713,800,1170,0.6666666666666666,265,0.2264957264957265,0,NA,0,NA,0,NA,345,0.3854748603351955,105,0.11731843575418995,240,0.43636363636363634,175,0.3181818181818182,105,0.19090909090909092,30,0.05454545454545454,10,0.01818181818181818,0.09090909090909091,100,0.05698005698005698,1755,1.002857142857143
ottawa_oeycfc_23_glebe_00000_4_1_percent,1665,0,0,20.3,20.4,110,0.06606606606606606,1405,18100,1320,15220,25.3,14560,14560,4.9,395,0.23723723723723725,1265,0.7597597597597597,0,0,180,0.10810810810810811,0,0,0,0,0.02108433734939759,35,0.012048192771084338,20,0,0,0,0,55,0.03313253012048193,0,0,0.006006006006006006,0.18181818181818182,10,0.1566265060240964,260,1150,0.6906906906906907,290,0.25217391304347825,0,NA,0,NA,0,NA,275,0.31976744186046513,70,0.08139534883720931,235,0.40869565217391307,65,0.11304347826086956,195,0.3391304347826087,60,0.10434782608695652,20,0.034782608695652174,0.06086956521739131,70,0.04216867469879518,1665,1
ottawa_oeycfc_28_hunt_club_east_00000_2_9_percent,4930,0,0,20.5,20.8,105,0.02129817444219067,4035,19200,3605,15400,32.1,14500,14820,7.7,1185,0.24012158054711247,3750,0.7598784194528876,0,0,630,0.1276595744680851,20,0.004052684903748734,15,0.00303951367781155,0.017223910840932118,85,0.010131712259371834,50,0.004052684903748734,20,0.002026342451874367,10,1180,0.23910840932117527,0.06281661600810537,310,0.10547667342799188,0.4406779661016949,520,0.6616008105369807,3265,2830,0.5734549138804458,840,0.2968197879858657,0,NA,0,NA,0,NA,480,0.24060150375939848,205,0.10275689223057644,1005,0.6722408026755853,335,0.22408026755852842,105,0.07023411371237458,40,0.026755852842809364,20,0.013377926421404682,0.06020066889632107,455,0.09219858156028368,4935,1.0010141987829615
ottawa_oeycfc_29_hunt_club_west_00000_2_0_percent,1945,0,0,20.1,20.2,25,0.012853470437017995,1500,17920,1365,14120,31.1,12800,12960,8.8,510,0.2622107969151671,1440,0.7403598971722365,0,0,225,0.11568123393316196,0,0,0,0,0.028277634961439587,55,0.007712082262210797,15,0.02056555269922879,40,0,0,485,0.2493573264781491,0.08226221079691516,160,0.08483290488431877,0.3402061855670103,165,0.5269922879177378,1025,1130,0.5824742268041238,325,0.28761061946902655,0,NA,0,NA,0,NA,150,0.18404907975460122,85,0.10429447852760736,430,0.6466165413533834,165,0.24812030075187969,30,0.045112781954887216,10,0.015037593984962405,25,0.03759398496240601,0.06766917293233082,125,0.06426735218508997,1945,1
ottawa_oeycfc_30_katimavik_hazeldean_00000_2_4_percent,3050,0,0,19.5,19.2,50,0.01639344262295082,2300,17100,2115,14460,26.6,14420,14820,5.9,1110,0.3639344262295082,1940,0.6360655737704918,0,0,150,0.04918032786885246,0,0,0,0,0.014754098360655738,45,0.00819672131147541,25,0.004918032786885246,15,0,0,545,0.17868852459016393,0.03770491803278689,115,0.021311475409836064,0.11926605504587157,65,0.4885245901639344,1490,1565,0.5139573070607554,450,0.28753993610223644,0,NA,0,NA,0,NA,300,0.26785714285714285,135,0.12053571428571429,630,0.7682926829268293,75,0.09146341463414634,70,0.08536585365853659,25,0.03048780487804878,25,0.03048780487804878,0.024390243902439025,130,0.042692939244663386,3050,1
ottawa_oeycfc_31_lower_town_00000_7_6_percent,2115,0,0,21.4,21.8,415,0.19621749408983452,1825,22100,1680,19260,25.7,16700,17040,7,265,0.12529550827423167,1850,0.8747044917257684,0,0,700,0.3309692671394799,65,0.030732860520094562,0,0,0.03309692671394799,70,0.026004728132387706,55,0.009456264775413711,20,0,0,380,0.17966903073286053,0.03546099290780142,75,0.06382978723404255,0.35526315789473684,135,0.5035460992907801,1065,1300,0.6146572104018913,280,0.2153846153846154,0,NA,0,NA,0,NA,340,0.3333333333333333,125,0.12254901960784313,200,0.29411764705882354,165,0.2426470588235294,270,0.39705882352941174,20,0.029411764705882353,25,0.03676470588235294,0.0661764705882353,430,0.2033096926713948,2115,1
ottawa_oeycfc_33_nepean_central_00000_2_2_percent,3620,0,0,20.2,20.4,40,0.011049723756906077,2900,18640,2665,14880,30.2,14120,14500,8.1,930,0.2572614107883817,2685,0.7427385892116183,0,0,330,0.0912863070539419,0,0,0,0,0.027624309392265192,100,0.013812154696132596,50,0.011049723756906077,40,0.0027624309392265192,10,575,0.15883977900552487,0.06353591160220995,230,0.0649171270718232,0.40869565217391307,235,0.43370165745856354,1570,2070,0.5726141078838174,580,0.28019323671497587,0,NA,0,NA,0,NA,360,0.24161073825503357,235,0.15771812080536912,690,0.6106194690265486,295,0.2610619469026549,75,0.06637168141592921,15,0.01327433628318584,55,0.048672566371681415,0.084070796460177,125,0.034530386740331494,3615,0.9986187845303868
ottawa_oeycfc_34_nepean_east_00000_3_2_percent,5200,0,0,20.8,21,160,0.03076923076923077,4290,20480,4000,17100,26.3,15100,15840,7.2,1015,0.1951923076923077,4180,0.8038461538461539,0,0,705,0.13557692307692307,35,0.006737247353224254,10,0.0019249278152069298,0.032723772858517804,170,0.016361886429258902,85,0.013474494706448507,70,0,0,725,0.1395572666025024,0.05774783445620789,300,0.07211538461538461,0.5172413793103449,375,0.4706448508180943,2445,3470,0.6679499518768046,755,0.21757925072046108,0,NA,0,NA,0,NA,450,0.16574585635359115,450,0.16574585635359115,1325,0.5849889624724062,735,0.32450331125827814,140,0.06181015452538632,40,0.017660044150110375,25,0.011037527593818985,0.0772626931567329,180,0.03464870067372473,5200,1
