name,total_population,number_of_seniors_age_65,percent_of_pop_that_are_seniors_age_65,average_age_of_the_population,median_age_of_the_population,number_of_people_living_alone,percent_of_people_living_alone,number_of_after_tax_income_recipients_age_15,average_after_tax_income_in_2020_among_recipients,number_of_market_income_recipients_age_15,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_who_know_neither_english_nor_french,percent_of_people_who_know_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,number_of_pop_in_labour_force,percent_of_pop_in_labour_force_participation_rate,number_of_pop_unemployed,unemployment_rate,number_of_people_age_25_64_with_no_high_school_diploma,percent_of_people_age_25_64_with_no_high_school_diploma,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,percent_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_commute_for_60_minutes_and_over,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24
ottawa_oeycfc_12_carlsbad_springs_findlay_creek_00000_1_8_percent,340,25,0.07352941176470588,35.1,34.4,25,0.07352941176470588,255,55200,230,66000,11.2,50000,60400,7.3,25,0.07352941176470588,0,0,1,345,0.4492753623188406,155,0.42028985507246375,145,0.07246376811594203,25,0,0,180,0.6923076923076923,15,0.08333333333333333,10,0.05263157894736842,175,0.9210526315789473,145,0.7631578947368421,75,0.45454545454545453,30,0.18181818181818182,0,40,0.11764705882352941,45,0.1323529411764706
ottawa_oeycfc_13_carp_fitzroy_kinburn_00000_2_9_percent,540,50,0.09259259259259259,34.6,32.8,15,0.027777777777777776,400,48400,335,60000,12.9,49800,62400,9.1,30,0.05555555555555555,0,0,1,545,0.42201834862385323,230,0.5045871559633027,275,0,0,0,0,290,0.7073170731707317,40,0.13793103448275862,20,0.07017543859649122,270,0.9473684210526315,190,0.6666666666666666,80,0.32,50,0.2,0.14705882352941177,25,0.046296296296296294,70,0.12962962962962962
ottawa_oeycfc_15_chapman_mills_rideau_crest_00000_2_8_percent,450,20,0.044444444444444446,34.6,35.2,25,0.05555555555555555,365,50400,345,59000,8.2,51800,64400,4.9,0,0,0,0,1,450,0.5777777777777777,260,0.36666666666666664,165,0.022222222222222223,10,0,0,295,0.7866666666666666,20,0.06779661016949153,10,0.03636363636363636,265,0.9636363636363636,215,0.7818181818181819,140,0.5,30,0.10714285714285714,0.07407407407407407,35,0.07777777777777778,80,0.17777777777777778
ottawa_oeycfc_16_chatelaine_convent_glen_00000_2_2_percent,540,75,0.1388888888888889,37.2,35.2,50,0.09259259259259259,400,47400,380,50600,13.6,47400,53800,8.8,45,0.08256880733944955,0,0,1,540,0.42592592592592593,230,0.49074074074074076,265,0.05555555555555555,30,0,0,290,0.6590909090909091,50,0.1724137931034483,20,0.07142857142857142,260,0.9285714285714286,195,0.6964285714285714,110,0.4583333333333333,45,0.1875,0.19230769230769232,165,0.3055555555555556,80,0.14814814814814814
ottawa_oeycfc_17_clementine_riverside_park_00000_3_5_percent,280,25,0.08928571428571429,34,29.4,45,0.16071428571428573,230,40000,190,45600,17.2,35200,40400,9.6,30,0.10714285714285714,0,0,1,280,0.35714285714285715,100,0.5,140,0.125,35,0,0,155,0.6326530612244898,25,0.16129032258064516,20,0.13793103448275862,130,0.896551724137931,85,0.5862068965517241,45,0.34615384615384615,10,0.07692307692307693,0,0,0,65,0.23214285714285715
ottawa_oeycfc_18_constance_bay_dunrobin_00000_3_0_percent,355,25,0.07042253521126761,34.1,33.6,20,0.056338028169014086,260,51200,225,66000,9.6,50800,62400,6.3,0,0,0,0,1,360,0.375,135,0.5555555555555556,200,0.06944444444444445,25,0,0,190,0.71698113207547165,40,0.21052631578947367,10,0.05128205128205128,185,0.9487179487179487,145,0.7435897435897436,85,0.5483870967741935,20,0.12903225806451613,0,10,0.028169014084507043,50,0.14084507042253522
ottawa_oeycfc_20_cumberland_navan_vars_00000_1_9_percent,600,65,0.10833333333333334,35.7,34.4,35,0.058333333333333334,445,47200,415,52000,15.2,44000,48400,11.6,35,0.058333333333333334,0,0,1,605,0.47107438016528924,285,0.49586776859504134,300,0,0,0,0,345,0.7419354838709677,20,0.057971014492753624,40,0.13114754098360656,265,0.8688524590163934,195,0.639344262295082,100,0.3125,45,0.140625,0.06666666666666667,265,0.44166666666666665,100,0.16666666666666666
ottawa_oeycfc_24_glencairn_00000_2_4_percent,510,50,0.09803921568627451,31.5,26,40,0.0784313725490196,325,45000,310,43200,21.6,41800,42800,16.4,0,0,0,0,1,515,0.6601941747572816,340,0.3106796116504854,160,0,0,0,0,210,0.5675675675675675,30,0.14285714285714285,15,0.06666666666666667,210,0.9333333333333333,125,0.5555555555555556,40,0.22857142857142856,15,0.08571428571428572,0,15,0.029411764705882353,95,0.18627450980392157
ottawa_oeycfc_25_goulbourn_munster_richmond_00000_1_3_percent,375,50,0.13333333333333333,36.6,35.6,20,0.05333333333333334,270,48000,240,54400,14,46800,55200,11.2,0,0,0,0,1,375,0.5866666666666667,220,0.37333333333333335,140,0,0,0,0,190,0.6551724137931034,15,0.07894736842105263,15,0.09090909090909091,150,0.9090909090909091,110,0.6666666666666666,50,0.29411764705882354,45,0.2647058823529412,0,0,0,80,0.21333333333333335
ottawa_oeycfc_6_blackburn_hamlet_mer_bleue_00000_2_4_percent,250,20,0.08,37.2,37.2,30,0.12,190,46000,175,46400,20.4,41200,44400,12.4,0,0,0,0,1,250,0.56,140,0.34,85,0,0,0,0,145,0.6904761904761905,30,0.20689655172413793,45,0.3,110,0.7333333333333333,80,0.5333333333333333,40,0.34782608695652173,0,0,0,20,0.0784313725490196,40,0.16
