name,total_population,number_of_seniors_age_65,percent_of_pop_that_are_seniors_age_65,average_age_of_the_population,median_age_of_the_population,number_of_people_living_alone,percent_of_people_living_alone,number_of_after_tax_income_recipients_age_15,average_after_tax_income_in_2020_among_recipients,number_of_market_income_recipients_age_15,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_who_know_neither_english_nor_french,percent_of_people_who_know_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,number_of_pop_in_labour_force,percent_of_pop_in_labour_force_participation_rate,number_of_pop_unemployed,unemployment_rate,number_of_people_age_25_64_with_no_high_school_diploma,percent_of_people_age_25_64_with_no_high_school_diploma,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,percent_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_commute_for_60_minutes_and_over,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24,ONS_ID
ottawa_sandy_hill_3104,4510,310,0.06873614190687362,31.9,26.6,1100,0.24390243902439024,3670,34000,3230,35480,19.4,28280,32760,10.3,1620,0.35920177383592017,95,0.02106430155210643,0,0,0,0,0,0,0,0,1,4510,2650,0.6575682382133995,585,0.22075471698113208,135,0.06221198156682028,2040,0.9400921658986175,1820,0.8387096774193549,910,0.4406779661016949,175,0.0847457627118644,0.04782608695652174,855,0.18957871396895787,1545,0.3425720620842572,3104
ottawa_south_keys_3105,945,60,0.06349206349206349,32.2,26.2,70,0.07407407407407407,710,32800,610,30800,27.3,27200,29200,17,200,0.21164021164021163,20,0.02116402116402116,0,0,0,0,0,0,0,0,1,950,495,0.6470588235294118,95,0.1919191919191919,35,0.07692307692307693,415,0.912087912087912,330,0.7252747252747253,130,0.325,45,0.1125,0.07407407407407407,30,0.03174603174603174,250,0.26455026455026454,3105
ottawa_stittsville_3106,3125,260,0.0832,33.5,32.8,70,0.0224,2140,52200,1925,65600,10.3,48680,62800,6.6,165,0.0528,55,0.0176,0,0,0,0,0,0,0,0,1,3125,1675,0.7188841201716738,185,0.11044776119402984,70,0.0438871473354232,1530,0.9592476489028212,1400,0.877742946708464,670,0.44966442953020136,100,0.06711409395973154,0.05555555555555555,100,0.032,475,0.152,3106
ottawa_stittsville_east_3107,5540,310,0.05595667870036101,31.1,32,150,0.02707581227436823,3930,51350,3580,60650,11.2,45000,54800,7.3,225,0.04061371841155235,290,0.05239385727190605,0,0,0,0,0,0,0,0,1,5540,3200,0.7710843373493976,370,0.115625,130,0.03981623277182235,3135,0.9601837672281776,2800,0.8575803981623277,1445,0.5097001763668431,125,0.04409171075837742,0.07407407407407407,225,0.04065040650406504,580,0.10469314079422384,3107
ottawa_stittsville_north_3108,3840,230,0.05989583333333333,32.6,32.8,130,0.03385416666666666,2735,49160,2420,60100,11,46080,57650,6.3,220,0.05729166666666666,140,0.03641092327698309,0,0,0,0,0,0,0,0,1,3845,2160,0.7539267015706806,240,0.1111111111111111,120,0.05381165919282511,2115,0.9484304932735426,1895,0.8497757847533632,970,0.5052083333333334,90,0.046875,0.08994708994708994,40,0.01040312093628088,405,0.10546875,3108
ottawa_stonebridge_half_moon_bay_3109,14530,915,0.06297315898141775,31.9,32.4,400,0.02752924982794219,9840,48680,8905,56650,12.7,45640,57000,6.9,1215,0.08364888123924269,720,0.0495697074010327,0,0,0,0,0,0,0,0,1,14525,7580,0.7239732569245463,825,0.10883905013192612,270,0.03515625,7405,0.9641927083333334,6550,0.8528645833333334,3190,0.4722427831236121,475,0.07031828275351591,0.07571428571428572,485,0.0333907056798623,1875,0.129043358568479,3109
ottawa_trend_arlington_3110,975,120,0.12307692307692308,36.8,37.2,45,0.04615384615384615,715,47800,630,54600,15.5,44600,54000,9.6,75,0.07692307692307693,55,0.05641025641025641,0,0,0,0,0,0,0,0,1,980,490,0.6490066225165563,50,0.1020408163265306,40,0.07920792079207921,465,0.9207920792079208,400,0.7920792079207921,170,0.3863636363636363,80,0.18181818181818185,0.12962962962962962,50,0.05128205128205128,130,0.13333333333333333,3110
ottawa_vanier_north_3111,2540,170,0.06692913385826772,32.6,31.2,450,0.17716535433070865,1895,40040,1690,41560,18.1,34160,39520,10.5,585,0.23031496062992127,65,0.02559055118110236,0,0,0,0,0,0,0,0,1,2540,1475,0.7266009852216748,175,0.11864406779661016,150,0.10238907849829353,1310,0.89419795221843,1125,0.7679180887372014,435,0.3346153846153846,150,0.1153846153846154,0.09302325581395347,655,0.2578740157480315,390,0.15354330708661418,3111
ottawa_vanier_south_3112,2360,230,0.09745762711864409,35.4,32.8,445,0.1885593220338983,1875,32440,1545,31440,28.4,27920,31560,17.5,650,0.2754237288135593,110,0.04661016949152542,0,0,0,0,0,0,0,0,1,2360,1405,0.7007481296758105,255,0.18149466192170816,120,0.09125475285171104,1200,0.9125475285171104,930,0.7072243346007605,360,0.3130434782608696,175,0.15217391304347827,0.0641025641025641,590,0.25,460,0.19491525423728817,3112
ottawa_vars_3113,60,0,0,42,43.6,0,0,45,50000,35,60000,14,42000,50000,8,0,0,0,0,0,0,0,0,0,0,0,0,1,55,30,0.6,0,0,0,0,35,0.875,35,0.875,0,0,0,0,0,25,0.4166666666666667,0,0,3113
