name,total_population,number_of_seniors_age_65,percent_of_pop_that_are_seniors_age_65,average_age_of_the_population,median_age_of_the_population,number_of_people_living_alone,percent_of_people_living_alone,number_of_after_tax_income_recipients_age_15,average_after_tax_income_in_2020_among_recipients,number_of_market_income_recipients_age_15,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_0_17_in_low_income_based_on_lim_at,percent_of_people_0_17_in_low_income_based_on_lim_at,number_of_people_18_64_in_low_income_based_on_lim_at,percent_of_people_18_64_in_low_income_based_on_lim_at,number_of_people_65_in_low_income_based_on_lim_at,percent_of_people_65_in_low_income_based_on_lim_at,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_with_knowledge_of_only_french_as_an_official_language,number_of_people_who_know_neither_english_nor_french,percent_of_people_who_know_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,number_of_immigrants,percent_of_pop_that_are_immigrants,percent_of_pop_that_are_recent_immigrants_arr_2016_2021,number_of_recent_immigrants_arr_2016_2021,percent_of_pop_that_are_refugees,percent_of_immigrants_that_are_refugees,number_of_refugees,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,number_of_pop_in_labour_force,percent_of_pop_in_labour_force_participation_rate,number_of_pop_unemployed,unemployment_rate,number_of_people_age_25_64_with_no_high_school_diploma,percent_of_people_age_25_64_with_no_high_school_diploma,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,percent_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,number_of_workers_age_15_who_commute_by_car_truck_or_van,percent_of_workers_age_15_who_commute_by_car_truck_or_van,number_of_workers_age_15_who_commute_by_public_transit,percent_of_workers_age_15_who_commute_by_public_transit,number_of_workers_age_15_who_commute_by_walking,percent_of_workers_age_15_who_commute_by_walking,number_of_workers_age_15_who_commute_by_bicycle,percent_of_workers_age_15_who_commute_by_bicycle,number_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_for_60_minutes_and_over,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24
ottawa_ons2022_braemar_park_belair_heights_copeland_park_3013_00000_4_5_percent,340,35,0.10294117647058823,32.1,29.2,20,0.058823529411764705,210,33200,175,25000,45,23800,27200,34,95,0.27941176470588236,210,0.6176470588235294,35,0.10294117647058823,100,0.29411764705882354,15,0.04411764705882353,0,0,0,0,0,0,0,0,0,0,225,0.6617647058823529,0.36764705882352944,125,0.3382352941176471,0.575,115,1,340,130,0.49056603773584906,35,0.2692307692307692,35,0.2,135,0.7714285714285715,110,0.6285714285714286,35,0.3888888888888889,10,0.1111111111111111,45,0.75,15,0.25,0,0,0,0,0,0,0,0,0,60,0.17647058823529413
ottawa_ons2022_bridlewood_emerald_meadows_3014_00000_1_2_percent,910,95,0.1043956043956044,33.3,33.2,20,0.02197802197802198,595,40600,500,43400,21.8,37800,45400,12.5,305,0.33516483516483514,510,0.5604395604395604,95,0.1043956043956044,190,0.2087912087912088,0,0,10,0.01098901098901099,0,0,0,0,0,0,0,0,575,0.6318681318681318,0.14285714285714285,130,0.10989010989010989,0.1941747572815534,100,1,910,410,0.6356589147286822,80,0.1951219512195122,20,0.0449438202247191,425,0.9550561797752809,385,0.8651685393258427,160,0.48484848484848486,25,0.07575757575757576,130,0.7878787878787878,25,0.15151515151515152,0,0,0,0,0,0,0,40,0.04395604395604396,100,0.10989010989010989
ottawa_ons2022_britannia_3015_00000_4_2_percent,365,65,0.1780821917808219,40,39.2,40,0.1095890410958904,275,33600,165,38000,38,29800,38000,30,80,0.2191780821917808,215,0.589041095890411,65,0.1780821917808219,115,0.3150684931506849,20,0.05555555555555555,40,0.1111111111111111,0,0,0,0,0,0,0,0,240,0.6666666666666666,0.18055555555555555,65,0.2191780821917808,0.35555555555555557,80,1,360,125,0.43859649122807015,35,0.28,10,0.05405405405405406,180,0.972972972972973,135,0.7297297297297297,40,0.4444444444444444,15,0.16666666666666666,35,0.7777777777777778,10,0.2222222222222222,0,0,0,0,0,0,0,20,0.05555555555555555,40,0.1095890410958904
ottawa_ons2022_brookside_briarbrook_morgans_grant_3016_00000_1_0_percent,1310,70,0.05343511450381679,30.8,30.8,25,0.019083969465648856,850,46200,755,52300,15.2,42500,54100,8.8,465,0.35361216730038025,780,0.5931558935361216,70,0.053231939163498096,100,0.07604562737642585,10,0.0076045627376425855,25,0.019011406844106463,0,0,0,0,0,0,0,0,735,0.55893536121673,0.07224334600760456,95,0.09923664122137404,0.18309859154929578,130,1,1315,655,0.7197802197802198,95,0.1450381679389313,25,0.0390625,615,0.9609375,540,0.84375,300,0.5405405405405406,40,0.07207207207207207,225,0.8823529411764706,15,0.058823529411764705,15,0.058823529411764705,0,0,0,0,0.058823529411764705,65,0.049429657794676805,205,0.15648854961832062
ottawa_ons2022_brudenell_lyndoch_and_raglan_3704_00000_5_1_percent,0,0,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,0,0,NA,NA,0,NA,NA,0,NA,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA
ottawa_ons2022_cardinal_creek_3017_00000_1_7_percent,585,25,0.042735042735042736,29.8,30.8,25,0.042735042735042736,380,48600,335,57400,13.4,44400,52400,12.6,205,0.3504273504273504,360,0.6153846153846154,0,0,85,0.1452991452991453,0,0,0,0,0,0,0,0,0,0,0,0,295,0.5,0.0847457627118644,50,0.10256410256410256,0.22641509433962265,60,1,590,310,0.7560975609756098,25,0.08064516129032258,25,0.078125,295,0.921875,265,0.828125,125,0.43859649122807015,25,0.08771929824561403,135,0.8709677419354839,10,0.06451612903225806,0,0,0,0,10,0.06451612903225806,0,25,0.042735042735042736,60,0.10256410256410256
ottawa_ons2022_carleton_heights_courtland_park_3018_00000_3_6_percent,445,20,0.0449438202247191,27.1,24.8,45,0.10112359550561797,315,33600,240,34000,32.5,29200,31800,20.8,125,0.2808988764044944,290,0.651685393258427,20,0.0449438202247191,95,0.21348314606741572,0,0,25,0.056179775280898875,0,0,0,0,0,0,0,0,245,0.550561797752809,0.12359550561797752,55,0.19101123595505617,0.3695652173913043,85,1,445,225,0.6521739130434783,85,0.37777777777777777,20,0.10256410256410256,170,0.8717948717948718,155,0.7948717948717948,55,0.39285714285714285,15,0.10714285714285714,65,0.8666666666666667,15,0.2,0,0,0,0,0,0,0,10,0.02247191011235955,130,0.29213483146067415
ottawa_ons2022_carleton_place_3402_00000_2_3_percent,80,0,0,29.6,31.2,0,0,50,36000,35,52000,14,40000,48000,9,25,0.3125,50,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0.375,0.1875,15,0.1875,0.5,15,1,80,40,0.8,0,0,0,0,40,1,30,0.75,20,0.6666666666666666,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ottawa_ons2022_carleton_university_3019_09999_0_0_percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ottawa_ons2022_carlington_3020_00000_4_4_percent,790,25,0.03164556962025317,30.6,28.2,50,0.06329113924050633,545,32200,395,31100,36.4,24400,28700,26.4,225,0.2848101265822785,540,0.6835443037974683,0,0,310,0.3924050632911392,25,0.03164556962025317,65,0.08227848101265822,0,0,0,0,0,0,0,0,455,0.5759493670886076,0.15822784810126583,125,0.2468354430379747,0.43333333333333335,195,1,790,330,0.559322033898305,95,0.2878787878787879,70,0.16666666666666666,345,0.8214285714285714,250,0.5952380952380952,75,0.3125,55,0.22916666666666666,110,0.7096774193548387,30,0.1935483870967742,10,0.06451612903225806,0,0,0,0,0,55,0.06962025316455696,145,0.18354430379746836
