name,total_population,number_of_seniors_age_65,percent_of_pop_that_are_seniors_age_65,average_age_of_the_population,median_age_of_the_population,number_of_people_living_alone,percent_of_people_living_alone,number_of_after_tax_income_recipients_age_15,average_after_tax_income_in_2020_among_recipients,number_of_market_income_recipients_age_15,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_who_know_neither_english_nor_french,percent_of_people_who_know_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,number_of_pop_in_labour_force,percent_of_pop_in_labour_force_participation_rate,number_of_pop_unemployed,unemployment_rate,number_of_people_age_25_64_with_no_high_school_diploma,percent_of_people_age_25_64_with_no_high_school_diploma,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,percent_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_commute_for_60_minutes_and_over,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24,ONS_ID
ottawa_borden_farm_fisher_glen_3012,260,35,0.1346153846153846,41,41.2,20,0.07692307692307693,205,40000,175,42800,22,36000,40800,15.6,75,0.28846153846153844,10,0.03846153846153846,0,0,0,0,0,0,0,0,1,260,100,0.4545454545454546,10,0.1,15,0.10344827586206896,135,0.9310344827586208,80,0.5517241379310345,30,0.3333333333333333,30,0.3333333333333333,0,10,0.03846153846153846,45,0.17307692307692307,3012
ottawa_braemar_park_belair_heights_copeland_park_3013,340,35,0.10294117647058824,32.1,29.2,20,0.0588235294117647,210,33200,175,25000,45,23800,27200,34,100,0.29411764705882354,0,0,0,0,0,0,0,0,0,0,1,340,130,0.49056603773584906,35,0.2692307692307692,35,0.2,135,0.7714285714285715,110,0.6285714285714286,35,0.3888888888888889,10,0.1111111111111111,0,0,0,60,0.17647058823529413,3013
ottawa_bridlewood_emerald_meadows_3014,910,95,0.1043956043956044,33.3,33.2,20,0.02197802197802198,595,40600,500,43400,21.8,37800,45400,12.5,190,0.2087912087912088,10,0.01098901098901099,0,0,0,0,0,0,0,0,1,910,410,0.6356589147286822,80,0.1951219512195122,20,0.0449438202247191,425,0.9550561797752808,385,0.8651685393258427,160,0.48484848484848486,25,0.07575757575757576,0,40,0.04395604395604396,100,0.10989010989010987,3014
ottawa_britannia_3015,365,65,0.1780821917808219,40,39.2,40,0.1095890410958904,275,33600,165,38000,38,29800,38000,30,115,0.3150684931506849,40,0.1111111111111111,0,0,0,0,0,0,0,0,1,360,125,0.43859649122807015,35,0.28,10,0.05405405405405406,180,0.972972972972973,135,0.7297297297297297,40,0.4444444444444444,15,0.16666666666666666,0,20,0.05555555555555555,40,0.1095890410958904,3015
ottawa_brookside_briarbrook_morgans_grant_3016,1310,70,0.05343511450381679,30.8,30.8,25,0.01908396946564885,850,46200,755,52300,15.2,42500,54100,8.8,100,0.07604562737642585,25,0.01901140684410646,0,0,0,0,0,0,0,0,1,1315,655,0.7197802197802198,95,0.1450381679389313,25,0.0390625,615,0.9609375,540,0.84375,300,0.5405405405405406,40,0.07207207207207207,0.0588235294117647,65,0.0494296577946768,205,0.15648854961832062,3016
ottawa_cardinal_creek_3017,585,25,0.04273504273504273,29.8,30.8,25,0.04273504273504273,380,48600,335,57400,13.4,44400,52400,12.6,85,0.1452991452991453,0,0,0,0,0,0,0,0,0,0,1,590,310,0.7560975609756098,25,0.08064516129032258,25,0.078125,295,0.921875,265,0.828125,125,0.43859649122807015,25,0.08771929824561403,0,25,0.04273504273504273,60,0.10256410256410256,3017
ottawa_carleton_heights_courtland_park_3018,445,20,0.0449438202247191,27.1,24.8,45,0.10112359550561796,315,33600,240,34000,32.5,29200,31800,20.8,95,0.21348314606741572,25,0.05617977528089887,0,0,0,0,0,0,0,0,1,445,225,0.6521739130434783,85,0.37777777777777777,20,0.10256410256410256,170,0.8717948717948718,155,0.7948717948717948,55,0.3928571428571429,15,0.10714285714285714,0,10,0.02247191011235955,130,0.29213483146067415,3018
ottawa_carleton_university_3019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3019
ottawa_carlington_3020,790,25,0.03164556962025317,30.6,28.2,50,0.06329113924050633,545,32200,395,31100,36.4,24400,28700,26.4,310,0.3924050632911392,65,0.08227848101265822,0,0,0,0,0,0,0,0,1,790,330,0.559322033898305,95,0.2878787878787879,70,0.16666666666666666,345,0.8214285714285714,250,0.5952380952380952,75,0.3125,55,0.22916666666666663,0,55,0.06962025316455696,145,0.18354430379746836,3020
ottawa_carp_3021,40,0,0,34,35.6,0,0,25,68000,25,95000,5,90000,110000,0.8,0,0,0,0,0,0,0,0,0,0,0,0,1,40,25,1,0,0,0,0,20,1,20,1,15,0.6,0,0,0,0,0,0,0,3021
