ONS_ID,name,value,value_rounded
3091,food_convenience_num_region_plus_buffer,4,4
3092,food_convenience_num_region_plus_buffer,1,1
3093,food_convenience_num_region_plus_buffer,0,0
3094,food_convenience_num_region_plus_buffer,1,1
3095,food_convenience_num_region_plus_buffer,6,6
3097,food_convenience_num_region_plus_buffer,2,2
3098,food_convenience_num_region_plus_buffer,0,0
3099,food_convenience_num_region_plus_buffer,0,0
3100,food_convenience_num_region_plus_buffer,3,3
3101,food_convenience_num_region_plus_buffer,8,8
3102,food_convenience_num_region_plus_buffer,0,0
3103,food_convenience_num_region_plus_buffer,3,3
3104,food_convenience_num_region_plus_buffer,15,15
3105,food_convenience_num_region_plus_buffer,1,1
3106,food_convenience_num_region_plus_buffer,5,5
3107,food_convenience_num_region_plus_buffer,0,0
3108,food_convenience_num_region_plus_buffer,5,5
3109,food_convenience_num_region_plus_buffer,2,2
3110,food_convenience_num_region_plus_buffer,1,1
3111,food_convenience_num_region_plus_buffer,16,16
3112,food_convenience_num_region_plus_buffer,17,17
3113,food_convenience_num_region_plus_buffer,1,1
3114,food_convenience_num_region_plus_buffer,0,0
3115,food_convenience_num_region_plus_buffer,12,12
3116,food_convenience_num_region_plus_buffer,3,3
3117,food_convenience_num_region_plus_buffer,3,3
0,food_convenience_num_per_1000_res_plus_buffer,0.353,0.35
3001,food_convenience_num_per_1000_res_plus_buffer,6.349,6.35
3002,food_convenience_num_per_1000_res_plus_buffer,0.386,0.39
3003,food_convenience_num_per_1000_res_plus_buffer,0.488,0.49
3004,food_convenience_num_per_1000_res_plus_buffer,0.646,0.65
3005,food_convenience_num_per_1000_res_plus_buffer,0.299,0.3
3006,food_convenience_num_per_1000_res_plus_buffer,NA,NA
3007,food_convenience_num_per_1000_res_plus_buffer,1.149,1.15
3008,food_convenience_num_per_1000_res_plus_buffer,0.462,0.46
3009,food_convenience_num_per_1000_res_plus_buffer,1.154,1.15
3010,food_convenience_num_per_1000_res_plus_buffer,0.242,0.24
3011,food_convenience_num_per_1000_res_plus_buffer,0.657,0.66
3012,food_convenience_num_per_1000_res_plus_buffer,0.351,0.35
3013,food_convenience_num_per_1000_res_plus_buffer,0.22,0.22
3014,food_convenience_num_per_1000_res_plus_buffer,0.116,0.12
3015,food_convenience_num_per_1000_res_plus_buffer,1.167,1.17
3016,food_convenience_num_per_1000_res_plus_buffer,0.322,0.32
3017,food_convenience_num_per_1000_res_plus_buffer,0.154,0.15
3018,food_convenience_num_per_1000_res_plus_buffer,0.485,0.48
3019,food_convenience_num_per_1000_res_plus_buffer,100,100
3020,food_convenience_num_per_1000_res_plus_buffer,0.622,0.62
3021,food_convenience_num_per_1000_res_plus_buffer,0.468,0.47
3022,food_convenience_num_per_1000_res_plus_buffer,0.282,0.28
3023,food_convenience_num_per_1000_res_plus_buffer,0.216,0.22
3024,food_convenience_num_per_1000_res_plus_buffer,0.753,0.75
3025,food_convenience_num_per_1000_res_plus_buffer,0.339,0.34
3026,food_convenience_num_per_1000_res_plus_buffer,0.139,0.14
3027,food_convenience_num_per_1000_res_plus_buffer,0.166,0.17
3028,food_convenience_num_per_1000_res_plus_buffer,0.903,0.9
3029,food_convenience_num_per_1000_res_plus_buffer,0.174,0.17
3030,food_convenience_num_per_1000_res_plus_buffer,250,250
3031,food_convenience_num_per_1000_res_plus_buffer,0.873,0.87
3032,food_convenience_num_per_1000_res_plus_buffer,0.339,0.34
3033,food_convenience_num_per_1000_res_plus_buffer,0,0
3034,food_convenience_num_per_1000_res_plus_buffer,0.228,0.23
3035,food_convenience_num_per_1000_res_plus_buffer,0.482,0.48
3036,food_convenience_num_per_1000_res_plus_buffer,0.254,0.25
3037,food_convenience_num_per_1000_res_plus_buffer,0.217,0.22
3038,food_convenience_num_per_1000_res_plus_buffer,0.354,0.35
3039,food_convenience_num_per_1000_res_plus_buffer,0.656,0.66
3040,food_convenience_num_per_1000_res_plus_buffer,0.613,0.61
3041,food_convenience_num_per_1000_res_plus_buffer,0.862,0.86
3042,food_convenience_num_per_1000_res_plus_buffer,0,0
3043,food_convenience_num_per_1000_res_plus_buffer,0.278,0.28
3044,food_convenience_num_per_1000_res_plus_buffer,0.35,0.35
3045,food_convenience_num_per_1000_res_plus_buffer,1.323,1.32
3046,food_convenience_num_per_1000_res_plus_buffer,0.255,0.26
3047,food_convenience_num_per_1000_res_plus_buffer,0.442,0.44
3048,food_convenience_num_per_1000_res_plus_buffer,0.638,0.64
3049,food_convenience_num_per_1000_res_plus_buffer,0.471,0.47
3050,food_convenience_num_per_1000_res_plus_buffer,3.433,3.43
3051,food_convenience_num_per_1000_res_plus_buffer,12.5,12.5
3052,food_convenience_num_per_1000_res_plus_buffer,0.162,0.16
3053,food_convenience_num_per_1000_res_plus_buffer,0.18,0.18
3054,food_convenience_num_per_1000_res_plus_buffer,0.294,0.29
3055,food_convenience_num_per_1000_res_plus_buffer,0.547,0.55
3056,food_convenience_num_per_1000_res_plus_buffer,0.353,0.35
3057,food_convenience_num_per_1000_res_plus_buffer,120,120
3058,food_convenience_num_per_1000_res_plus_buffer,0.848,0.85
3059,food_convenience_num_per_1000_res_plus_buffer,0.364,0.36
3060,food_convenience_num_per_1000_res_plus_buffer,0.201,0.2
3061,food_convenience_num_per_1000_res_plus_buffer,0.524,0.52
3062,food_convenience_num_per_1000_res_plus_buffer,0.376,0.38
3063,food_convenience_num_per_1000_res_plus_buffer,0.35,0.35
3064,food_convenience_num_per_1000_res_plus_buffer,0,0
3065,food_convenience_num_per_1000_res_plus_buffer,0.356,0.36
3066,food_convenience_num_per_1000_res_plus_buffer,0,0
3067,food_convenience_num_per_1000_res_plus_buffer,0.871,0.87
3068,food_convenience_num_per_1000_res_plus_buffer,1.515,1.51
3069,food_convenience_num_per_1000_res_plus_buffer,0.62,0.62
3070,food_convenience_num_per_1000_res_plus_buffer,0.287,0.29
3071,food_convenience_num_per_1000_res_plus_buffer,0,0
3072,food_convenience_num_per_1000_res_plus_buffer,0,0
3073,food_convenience_num_per_1000_res_plus_buffer,0.173,0.17
3074,food_convenience_num_per_1000_res_plus_buffer,0.348,0.35
3075,food_convenience_num_per_1000_res_plus_buffer,0,0
3076,food_convenience_num_per_1000_res_plus_buffer,0.655,0.66
3077,food_convenience_num_per_1000_res_plus_buffer,0.356,0.36
3078,food_convenience_num_per_1000_res_plus_buffer,0.203,0.2
3079,food_convenience_num_per_1000_res_plus_buffer,0.373,0.37
3080,food_convenience_num_per_1000_res_plus_buffer,0.224,0.22
3081,food_convenience_num_per_1000_res_plus_buffer,0.301,0.3
3082,food_convenience_num_per_1000_res_plus_buffer,0.586,0.59
3083,food_convenience_num_per_1000_res_plus_buffer,0.309,0.31
3084,food_convenience_num_per_1000_res_plus_buffer,20,20
3085,food_convenience_num_per_1000_res_plus_buffer,0.354,0.35
3086,food_convenience_num_per_1000_res_plus_buffer,0.35,0.35
3087,food_convenience_num_per_1000_res_plus_buffer,0.709,0.71
3088,food_convenience_num_per_1000_res_plus_buffer,0.169,0.17
3089,food_convenience_num_per_1000_res_plus_buffer,0.799,0.8
3090,food_convenience_num_per_1000_res_plus_buffer,0.328,0.33
3091,food_convenience_num_per_1000_res_plus_buffer,0.133,0.13
3092,food_convenience_num_per_1000_res_plus_buffer,0.224,0.22
3093,food_convenience_num_per_1000_res_plus_buffer,0,0
3094,food_convenience_num_per_1000_res_plus_buffer,0.221,0.22
3095,food_convenience_num_per_1000_res_plus_buffer,0.585,0.58
3097,food_convenience_num_per_1000_res_plus_buffer,0.137,0.14
3098,food_convenience_num_per_1000_res_plus_buffer,0,0
3099,food_convenience_num_per_1000_res_plus_buffer,0,0
3100,food_convenience_num_per_1000_res_plus_buffer,0.157,0.16
3101,food_convenience_num_per_1000_res_plus_buffer,0.595,0.6
3102,food_convenience_num_per_1000_res_plus_buffer,0,0
3103,food_convenience_num_per_1000_res_plus_buffer,0.273,0.27
3104,food_convenience_num_per_1000_res_plus_buffer,1.084,1.08
3105,food_convenience_num_per_1000_res_plus_buffer,0.36,0.36
3106,food_convenience_num_per_1000_res_plus_buffer,0.225,0.22
3107,food_convenience_num_per_1000_res_plus_buffer,0,0
3108,food_convenience_num_per_1000_res_plus_buffer,0.389,0.39
3109,food_convenience_num_per_1000_res_plus_buffer,0.072,0.07
3110,food_convenience_num_per_1000_res_plus_buffer,0.213,0.21
3111,food_convenience_num_per_1000_res_plus_buffer,1.525,1.52
3112,food_convenience_num_per_1000_res_plus_buffer,2.321,2.32
3113,food_convenience_num_per_1000_res_plus_buffer,0.356,0.36
3114,food_convenience_num_per_1000_res_plus_buffer,0,0
3115,food_convenience_num_per_1000_res_plus_buffer,1.362,1.36
3116,food_convenience_num_per_1000_res_plus_buffer,0.244,0.24
3117,food_convenience_num_per_1000_res_plus_buffer,0.262,0.26
0,food_convenience_dist_closest_3_popwt,1.642,1.64
3001,food_convenience_dist_closest_3_popwt,1.55,1.55
3002,food_convenience_dist_closest_3_popwt,1.205,1.21
3003,food_convenience_dist_closest_3_popwt,0.815,0.81
3004,food_convenience_dist_closest_3_popwt,1.146,1.15
3005,food_convenience_dist_closest_3_popwt,1.307,1.31
3006,food_convenience_dist_closest_3_popwt,NA,NA
3007,food_convenience_dist_closest_3_popwt,0.854,0.85
3008,food_convenience_dist_closest_3_popwt,1.297,1.3
3009,food_convenience_dist_closest_3_popwt,0.687,0.69
3010,food_convenience_dist_closest_3_popwt,1.537,1.54
3011,food_convenience_dist_closest_3_popwt,1.069,1.07
3012,food_convenience_dist_closest_3_popwt,1.05,1.05
