VAR2,VAR9,VAR14,VAR17,VAR19,VAR21,VAR23,VAR25,VAR50,VAR51,VAR53,VAR55,VAR57,VAR59,VAR61,VAR63,VAR65,VAR66,VAR68,VAR70,VAR72,VAR75,VAR77,VAR79,VAR81,VAR83,VAR85,VAR87,VAR89,VAR91,VAR93,VAR94,VAR96,VAR98,VAR5,VAR4,VAR11,VAR13,VAR15,VAR16
0,0.035573123,25.3,6.1,0.051383399,0.367588933,0.632411067,0,0,0,0.023715415,0.011857708,0.011857708,0,0.063241107,0.019762846,0,0,0.18972332,0.527777778,0.330827068,NA,NA,NA,0.213483146,0.078651685,0.577464789,0.154929577,0.183098592,0.056338028,0.028169014,0.028169014,1,0.023809524,19,19.3,16400,13840,12920,13200
0,0.045553145,32.7,10.3,0.199566161,0.268980477,0.728850325,0,0,0.006507592,0.021691974,0.013015184,0.00867679,0,0.392624729,0.132321041,0.25813449,0.657458564,0.787418655,0.529284165,0.262295082,NA,NA,NA,0.211111111,0.122222222,0.561151079,0.294964029,0.100719424,0.021582734,0.014388489,0.079136691,1.002169197,0.110629067,20.8,20.4,19400,15480,14000,14680
0,0,34,6.6,0,0.276595745,0.744680851,0,0,0,0.0625,0,0,0,0.145833333,0.104166667,0.104166667,0.714285714,0.395833333,0.625,0.366666667,NA,NA,NA,0,0.263157895,0.421052632,0.526315789,0,0,0,0.315789474,0.979166667,0.041666667,20.2,20.2,20800,15600,13400,13900
0,0.116161616,28.5,6.8,0.294416244,0.233502538,0.771573604,0,0.035353535,0,0.03030303,0.015151515,0.01010101,0,0.217171717,0.050505051,0.121212121,0.558139535,0.53030303,0.538071066,0.160377358,NA,NA,NA,0.25,0.147727273,0.28358209,0.358208955,0.298507463,0.044776119,0,0.074626866,0.994949495,0.212121212,21.2,20.7,20960,17320,16080,16280
0,0.244604317,28.2,8.2,0.323741007,0.071942446,0.920863309,0,0.035971223,0,0.064748201,0.050359712,0,0,0.179856115,0.021582734,0.014388489,0.08,0.395683453,0.721428571,0.267326733,NA,NA,NA,0.36,0.12,0.291666667,0.270833333,0.4375,0,0,0.104166667,1,0.18705036,21.6,21.6,21800,18900,16400,16600
0,0.033333333,31.4,9.8,0.2,0.291666667,0.7,0,0.016666667,0,0.05,0,0.025,0.016666667,0.175,0.05,0.058333333,0.333333333,0.391666667,0.591666667,0.295774648,NA,NA,NA,0.244897959,0.12244898,0.552631579,0.236842105,0.078947368,0.105263158,0,0.052631579,1,0.15,19.8,19.9,16100,12520,12720,12640
0,0.008,25.2,5.8,0.027888446,0.3187251,0.677290837,0,0,0,0.036,0.016,0.016,0,0.048,0.012,0.008,0.166666667,0.16,0.661354582,0.265060241,NA,NA,NA,0.18852459,0.172131148,0.958762887,0,0.020618557,0.020618557,0,0,1,0.04,19.6,19.8,18440,15560,15600,16000
0,0,19.5,8.4,0,0.34,0.68,0,0,0,0.08,0,0,0,0.04,0,0,0,0,0.66,0.212121212,NA,NA,NA,0,0.269230769,0.962962963,0,0,0,0,0.111111111,1,0,19.2,19.8,19000,18400,14500,14600
0,0,26,9,0,0.242857143,0.757142857,0,0,0,0.057142857,0.042857143,0.028571429,0,0.085714286,0,0,0,0.214285714,0.671428571,0.191489362,NA,NA,NA,0.263157895,0.263157895,0.928571429,0,0,0.071428571,0,0,0.985915493,0.042857143,19.8,20,18200,14500,14600,14100
0,0,15.5,4.2,0.045112782,0.353383459,0.639097744,0,0,0,0.07518797,0.030075188,0.037593985,0,0.015037594,0.015037594,0,0,0.052631579,0.661654135,0.204545455,NA,NA,NA,0.128571429,0.157142857,0.951612903,0,0.032258065,0,0,0,0.992537313,0.052631579,19.4,19.6,20400,19300,16900,17900
0,0,21.6,8.8,0,0.35483871,0.634408602,0,0,0,0.054347826,0.02173913,0.032608696,0,0,0,0,NA,0,0.684782609,0.174603175,NA,NA,NA,0.156862745,0.137254902,0.909090909,0,0,0,0.045454545,0,1,0,19.4,19.6,19000,16200,14400,13900
0,0,20.2,7.4,0.027624309,0.408839779,0.591160221,0,0,0,0.06043956,0.027472527,0.027472527,0,0.027472527,0,0,0,0.087912088,0.730769231,0.248120301,NA,NA,NA,0.08,0.17,0.891304348,0,0.065217391,0.02173913,0,0.02173913,1,0,18.8,19.3,17960,16200,15150,15200
